year,category,category_full,peru_score,latin_america_score,world_score,peru_minus_latam,peru_minus_world,latam_minus_world,source_peru,source_latam,source_world,data_status_peru,data_status_latam,data_status_world
2020,Libertades civiles,Civil liberties,7.35,6.79,5.56,0.56,1.79,1.23,"EIU, Democracy Index 2020, Table 8, p. 37","EIU, Democracy Index 2020, Chart 7/Table 8, p. 37","EIU, Democracy Index 2020, overview + Chart 7, pp. 3–4, 37",observed_EIU,observed_EIU,observed_EIU
2020,Proceso electoral,Electoral process and pluralism,8.75,7.48,5.18,1.27,3.57,2.3,"EIU, Democracy Index 2020, Table 8, p. 37","EIU, Democracy Index 2020, Chart 7/Table 8, p. 37","EIU, Democracy Index 2020, overview + Chart 7, pp. 3–4, 37",observed_EIU,observed_EIU,observed_EIU
2020,Gobierno,Functioning of government,5.36,5.21,5.42,0.15,-0.06,-0.21,"EIU, Democracy Index 2020, Table 8, p. 37","EIU, Democracy Index 2020, Chart 7/Table 8, p. 37","EIU, Democracy Index 2020, overview + Chart 7, pp. 3–4, 37",observed_EIU,observed_EIU,observed_EIU
2020,Cultura política,Political culture,5.63,4.71,5.79,0.92,-0.16,-1.08,"EIU, Democracy Index 2020, Table 8, p. 37","EIU, Democracy Index 2020, Chart 7/Table 8, p. 37","EIU, Democracy Index 2020, overview + Chart 7, pp. 3–4, 37",observed_EIU,observed_EIU,observed_EIU
2020,Participación,Political participation,5.56,5.81,5.52,-0.25,0.04,0.29,"EIU, Democracy Index 2020, Table 8, p. 37","EIU, Democracy Index 2020, Chart 7/Table 8, p. 37","EIU, Democracy Index 2020, overview + Chart 7, pp. 3–4, 37",observed_EIU,observed_EIU,observed_EIU
2021,Libertades civiles,Civil liberties,7.06,6.64,5.35,0.42,1.71,1.29,"EIU, Democracy Index 2021, Table 8, p. 49","EIU, Democracy Index 2021, category chart, pp. 48–49","EIU, Democracy Index 2021, category chart, pp. 48–49",observed_EIU,observed_EIU,observed_EIU
2021,Proceso electoral,Electoral process and pluralism,8.75,7.35,5.6,1.4,3.15,1.75,"EIU, Democracy Index 2021, Table 8, p. 49","EIU, Democracy Index 2021, category chart, pp. 48–49","EIU, Democracy Index 2021, category chart, pp. 48–49",observed_EIU,observed_EIU,observed_EIU
2021,Gobierno,Functioning of government,5.36,5.03,4.62,0.33,0.74,0.41,"EIU, Democracy Index 2021, Table 8, p. 49","EIU, Democracy Index 2021, category chart, pp. 48–49","EIU, Democracy Index 2021, category chart, pp. 48–49",observed_EIU,observed_EIU,observed_EIU
2021,Cultura política,Political culture,3.75,4.53,5.36,-0.78,-1.61,-0.83,"EIU, Democracy Index 2021, Table 8, p. 49","EIU, Democracy Index 2021, category chart, pp. 48–49","EIU, Democracy Index 2021, category chart, pp. 48–49",observed_EIU,observed_EIU,observed_EIU
2021,Participación,Political participation,5.56,5.58,5.37,-0.02,0.19,0.21,"EIU, Democracy Index 2021, Table 8, p. 49","EIU, Democracy Index 2021, category chart, pp. 48–49","EIU, Democracy Index 2021, category chart, pp. 48–49",observed_EIU,observed_EIU,observed_EIU
2022,Libertades civiles,Civil liberties,6.47,6.61,5.43,-0.14,1.04,1.18,"EIU, Democracy Index 2022, Table 8, pp. 43–44","EIU, Democracy Index 2022, category chart, pp. 43–45","EIU, Democracy Index 2022, overview + chart, pp. 3–7, 43–45",observed_EIU,observed_EIU,observed_EIU
2022,Proceso electoral,Electoral process and pluralism,8.75,7.19,5.59,1.56,3.16,1.6,"EIU, Democracy Index 2022, Table 8, pp. 43–44","EIU, Democracy Index 2022, category chart, pp. 43–45","EIU, Democracy Index 2022, overview + chart, pp. 3–7, 43–45",observed_EIU,observed_EIU,observed_EIU
2022,Gobierno,Functioning of government,5.71,5.07,4.7,0.64,1.01,0.37,"EIU, Democracy Index 2022, Table 8, pp. 43–44","EIU, Democracy Index 2022, category chart, pp. 43–45","EIU, Democracy Index 2022, overview + chart, pp. 3–7, 43–45",observed_EIU,observed_EIU,observed_EIU
2022,Cultura política,Political culture,3.13,4.11,5.32,-0.98,-2.19,-1.21,"EIU, Democracy Index 2022, Table 8, pp. 43–44","EIU, Democracy Index 2022, category chart, pp. 43–45","EIU, Democracy Index 2022, overview + chart, pp. 3–7, 43–45",observed_EIU,observed_EIU,observed_EIU
2022,Participación,Political participation,5.56,5.97,5.44,-0.41,0.12,0.53,"EIU, Democracy Index 2022, Table 8, pp. 43–44","EIU, Democracy Index 2022, category chart, pp. 43–45","EIU, Democracy Index 2022, overview + chart, pp. 3–7, 43–45",observed_EIU,observed_EIU,observed_EIU
2023,Libertades civiles,Civil liberties,6.47,6.54,5.39,-0.07,1.08,1.15,"EIU, Democracy Index 2023, Table 2, p. 13","EIU, Democracy Index 2023, category chart, pp. 45–46","EIU, Democracy Index 2023, overview + chart, pp. 3–5, 45–46",observed_EIU,observed_EIU,observed_EIU
2023,Proceso electoral,Electoral process and pluralism,8.75,7.07,5.49,1.68,3.26,1.58,"EIU, Democracy Index 2023, Table 2, p. 13","EIU, Democracy Index 2023, category chart, pp. 45–46","EIU, Democracy Index 2023, overview + chart, pp. 3–5, 45–46",observed_EIU,observed_EIU,observed_EIU
2023,Gobierno,Functioning of government,5.71,5.04,4.66,0.67,1.05,0.38,"EIU, Democracy Index 2023, Table 2, p. 13","EIU, Democracy Index 2023, category chart, pp. 45–46","EIU, Democracy Index 2023, overview + chart, pp. 3–5, 45–46",observed_EIU,observed_EIU,observed_EIU
2023,Cultura política,Political culture,3.13,4.01,5.24,-0.88,-2.11,-1.23,"EIU, Democracy Index 2023, Table 2, p. 13","EIU, Democracy Index 2023, category chart, pp. 45–46","EIU, Democracy Index 2023, overview + chart, pp. 3–5, 45–46",observed_EIU,observed_EIU,observed_EIU
