file,field,dtype,description
categories_multilevel_2020_2025.csv,year,int64,Calendar or analytical year.
categories_multilevel_2020_2025.csv,category,object,Category.
categories_multilevel_2020_2025.csv,category_full,object,Category full.
categories_multilevel_2020_2025.csv,peru_score,float64,Peru score on the 0–10 Democracy Index scale; interpret with its data-status field.
categories_multilevel_2020_2025.csv,latin_america_score,float64,Latin America and Caribbean aggregate on the 0–10 scale.
categories_multilevel_2020_2025.csv,world_score,float64,World aggregate on the 0–10 scale.
categories_multilevel_2020_2025.csv,peru_minus_latam,float64,Arithmetic score difference between the named geographies.
categories_multilevel_2020_2025.csv,peru_minus_world,float64,Arithmetic score difference between the named geographies.
categories_multilevel_2020_2025.csv,latam_minus_world,float64,Arithmetic score difference between the named geographies.
categories_multilevel_2020_2025.csv,source_peru,object,Bibliographic source and location for the corresponding value.
categories_multilevel_2020_2025.csv,source_latam,object,Bibliographic source and location for the corresponding value.
categories_multilevel_2020_2025.csv,source_world,object,Bibliographic source and location for the corresponding value.
categories_multilevel_2020_2025.csv,data_status_peru,object,Epistemic status of the Peru value.
categories_multilevel_2020_2025.csv,data_status_latam,object,Epistemic status of the Latin America value.
categories_multilevel_2020_2025.csv,data_status_world,object,Epistemic status of the world value.
data_status_registry.csv,status_id,object,Stable controlled-vocabulary identifier.
data_status_registry.csv,label_es,object,Label es.
data_status_registry.csv,definition,object,Definition of the controlled data status.
data_status_registry.csv,allowed_use,object,Permitted interpretation and citation use.
model_formulas_v2.csv,formula_id,object,Stable formula identifier.
model_formulas_v2.csv,component,object,Component.
model_formulas_v2.csv,formula,object,Human-readable model formula.
model_formulas_v2.csv,interpretation,object,Mandatory interpretive limitation for the value or distribution.
overall_multilevel_2020_2025.csv,year,int64,Calendar or analytical year.
overall_multilevel_2020_2025.csv,peru_score,float64,Peru score on the 0–10 Democracy Index scale; interpret with its data-status field.
overall_multilevel_2020_2025.csv,latin_america_score,float64,Latin America and Caribbean aggregate on the 0–10 scale.
overall_multilevel_2020_2025.csv,world_score,float64,World aggregate on the 0–10 scale.
overall_multilevel_2020_2025.csv,peru_regime_type,object,Peru regime type.
overall_multilevel_2020_2025.csv,peru_minus_latam,float64,Arithmetic score difference between the named geographies.
overall_multilevel_2020_2025.csv,peru_minus_world,float64,Arithmetic score difference between the named geographies.
overall_multilevel_2020_2025.csv,latam_minus_world,float64,Arithmetic score difference between the named geographies.
overall_multilevel_2020_2025.csv,peru_pct_change_vs_2020,float64,Percentage change relative to the 2020 baseline.
overall_multilevel_2020_2025.csv,latin_america_pct_change_vs_2020,float64,Percentage change relative to the 2020 baseline.
overall_multilevel_2020_2025.csv,world_pct_change_vs_2020,float64,Percentage change relative to the 2020 baseline.
overall_multilevel_2020_2025.csv,source_peru,object,Bibliographic source and location for the corresponding value.
overall_multilevel_2020_2025.csv,source_latam,object,Bibliographic source and location for the corresponding value.
overall_multilevel_2020_2025.csv,source_world,object,Bibliographic source and location for the corresponding value.
overall_multilevel_2020_2025.csv,peru_rank,float64,Peru rank.
overall_multilevel_2020_2025.csv,data_status_peru,object,Epistemic status of the Peru value.
parameter_elicitation_matrix.csv,scenario_id,object,Stable machine-readable scenario identifier.
parameter_elicitation_matrix.csv,scenario_name,object,Human-readable scenario name.
parameter_elicitation_matrix.csv,category_full,object,Category full.
parameter_elicitation_matrix.csv,category_es,object,Category es.
parameter_elicitation_matrix.csv,parameter,object,Parameter.
parameter_elicitation_matrix.csv,central,float64,Central structured analytical judgement for the parameter.
parameter_elicitation_matrix.csv,plausible_low,float64,Lower plausible bound used by the triangular parameter distribution.
parameter_elicitation_matrix.csv,plausible_high,float64,Upper plausible bound used by the triangular parameter distribution.
parameter_elicitation_matrix.csv,evidence_basis,object,Semicolon-separated evidence identifiers supporting the judgement.
parameter_elicitation_matrix.csv,signal,object,Signal.
parameter_elicitation_matrix.csv,translation_rule,object,Explicit rule translating qualitative evidence into a bounded parameter judgement.
parameter_elicitation_matrix.csv,decision_author,object,Person responsible for the documented analytical judgement.
parameter_elicitation_matrix.csv,decision_date,object,ISO date of the analytical judgement.
parameter_elicitation_matrix.csv,parameter_status,object,Epistemic classification of the parameter.
peru_2025_anchor_ensemble.csv,sample_id,int64,Deterministic simulation-row identifier.
peru_2025_anchor_ensemble.csv,Proceso electoral y pluralismo,float64,Dimensional score on the 0–10 scale; interpret with data_status.
peru_2025_anchor_ensemble.csv,Funcionamiento del gobierno,float64,Dimensional score on the 0–10 scale; interpret with data_status.
peru_2025_anchor_ensemble.csv,Participación política,float64,Dimensional score on the 0–10 scale; interpret with data_status.
peru_2025_anchor_ensemble.csv,Cultura política,float64,Dimensional score on the 0–10 scale; interpret with data_status.
peru_2025_anchor_ensemble.csv,Libertades civiles,float64,Dimensional score on the 0–10 scale; interpret with data_status.
peru_2025_anchor_ensemble.csv,overall_score,float64,Arithmetic mean of the five dimensional values on the 0–10 scale.
peru_2025_anchor_ensemble.csv,data_status,object,Controlled epistemic-status identifier from data_status_registry.csv.
peru_2025_anchor_summary.csv,category_full,object,Category full.
peru_2025_anchor_summary.csv,category_es,object,Category es.
peru_2025_anchor_summary.csv,peru_2024_official_source_observed,float64,Peru 2024 official source observed.
peru_2025_anchor_summary.csv,central_anchor_2025,float64,Central anchor 2025.
peru_2025_anchor_summary.csv,anchor_sigma,float64,Anchor sigma.
peru_2025_anchor_summary.csv,admissible_low,float64,Admissible low.
peru_2025_anchor_summary.csv,p10,float64,10th percentile of the stated sensitivity distribution.
peru_2025_anchor_summary.csv,p50,float64,Median of the stated sensitivity distribution.
peru_2025_anchor_summary.csv,p90,float64,90th percentile of the stated sensitivity distribution.
peru_2025_anchor_summary.csv,admissible_high,float64,Admissible high.
peru_2025_anchor_summary.csv,overall_constraint,float64,Fixed 2025 aggregate that every latent dimensional vector must preserve.
peru_2025_anchor_summary.csv,data_status,object,Controlled epistemic-status identifier from data_status_registry.csv.
