ID,Título,Autores,Año,Revista / fuente,DOI,URL,Base,Perfil,Abstract,PDF status,Ruta / archivo PDF,PDF Identity Gate,Lectura full-text,Aporte al artículo original,Dimensión del visor,Tipo de aporte,Diseño / método,Unidad / caso,Hallazgos clave,Limitaciones,Calidad / appraisal,Citas / páginas,Decisión post-fulltext,Razón post-fulltext,Prioridad
R000001,Under Pressure: Explaining Backlash Against Civil Society in the Andean Community,Noah Anders Levine,2018,Scholarship @ Claremont (The Claremont Colleges),,https://openalex.org/W2891281268,openalex,module_A_en,"In this thesis, I consider the trend of increasing backlash against civil society around the world. I focus on Ecuador and Peru, both democratic countries that have placed restrictions on NGOs receiving foreign funding. I examine both countries in terms of changes over time in the regulatory environment for NGOs. I ask: What factors motivated these changes? I analyze the countries with respect to three possible explanations: defending sovereignty against foreign powers, stifling internal dissent, and seeking rents. In answering this question, I draw upon the laws in question, press releases, and news reports as well as interviews with NGO personnel and government regulators, among other sources. I conclude that while there is evidence for the stifling dissent explanation in both countries, there is no evidence for the defending sovereignty explanation in Peru and only circumstantial evidence for it in Ecuador. In Ecuador, there is contradictory evidence for the rent-seeking explanation while there is clearer evidence for it in Peru.",PENDIENTE_ADJUNTAR,,PENDIENTE,,,,,,,,,,,PENDIENTE,,ALTA
R000005,A Lexical Index of Electoral Democracy,Svend‐Erik Skaaning; John Gerring; Henrikas Bartusevičius,2015,Comparative Political Studies,10.1177/0010414015581050,https://openalex.org/W2125688819,openalex,module_C_en,"Recent years have seen an efflorescence of work focused on the definition and operationalization of democracy. One debate concerns whether democracy is best measured by binary or graded scales. Critics of binary indices point out at that they are overly reductionist, while defenders counter that the different levels of graded measures are not associated with a specific set of conditions. Against this backdrop, we propose to operationalize electoral democracy as a series of necessary and sufficient conditions arrayed in an ordinal scale. The resulting “lexical” index of electoral democracy, based partly on new data, covers all independent countries of the world from 1800 to 2013. It incorporates binary coding of its subcomponents, which are aggregated into an ordinal scale using a cumulative logic. In this fashion, we arrive at an index that performs a classificatory function—each level identifies a unique and theoretically meaningful regime-type—as well as a discriminating function.",PENDIENTE_ADJUNTAR,,PENDIENTE,,,,,,,,,,,PENDIENTE,,ALTA
R000017,"An Ordinal, Concept-driven Approach to Measurement: The Lexical Scale",John Gerring; Daniel Pemstein; Svend‐Erik Skaaning,2018,Sociological Methods & Research,10.1177/0049124118782531,https://openalex.org/W2882834800,openalex,module_C_en,"A key obstacle to measurement is the aggregation problem. Where indicators tap into common latent traits in theoretically meaningful ways, the problem may be solved by applying a data-informed (“inductive”) measurement model, for example, factor analysis, structural equation models, or item response theory. Where they do not, researchers solve the aggregation problem by appeal to concept-driven (“deductive”) criteria, that is, aggregation schemes that do not presume patterns of covariance across observable indicators. This article introduces a novel approach to scale construction that builds on the properties of concepts to solve the aggregation problem. This is accomplished by regarding conceptual attributes as necessary-and-sufficient conditions arrayed in an ordinal scale. While different sorts of scales are useful for different purposes, we argue that “lexical” scales are in many cases superior for research questions where it is relevant to combine the differentiation of an ordinal scale with the distinct, meaningful categories of a typology.",PENDIENTE_ADJUNTAR,,PENDIENTE,,,,,,,,,,,PENDIENTE,,ALTA
R000019,"Quality Assessment of the Academic Freedom Index: Strengths, Weaknesses, and How Best to Use It",Lars Lott; Janika Spannagel,2025,Perspectives on Politics,10.1017/s1537592724001968,https://openalex.org/W4407763555,openalex,module_C_en,"This article reviews the data quality of the first systematic global measurement of academic freedom, the Academic Freedom Index (AFI), by using a data quality assessment approach proposed by McMann et al. (2022). By analyzing three distinct components of data quality (content validity, the data generation process, and convergent validity), we examine the specific strengths and potential shortcomings of the AFI. The findings indicate that the AFI does well in terms of its theoretical embeddedness (within some conceptual limits), of the transparent data generation process, and the handling of expert assessments, as well as of its temporal and spatial coverage. A critical assessment of the level of disagreement between expert coders further shows that there are few systematic predictors, providing no evidence for problematic biases among AFI coders. Overall, we conclude that the data quality of the AFI is comparatively high but that it could be further increased by recruiting even more experts and thereby enhancing the Bayesian IRT model’s performance.",PENDIENTE_ADJUNTAR,,PENDIENTE,,,,,,,,,,,PENDIENTE,,ALTA
R000030,Estabilidad política y su impacto en las exportaciones de los países andinos miembros de la ALADI durante los años de 2001 al 2023,Denisse Angie Chuco Torres; Yovanna Katherine Sanchez Oropeza,2025,Universidad Peruana de Ciencias Aplicadas (UPC),10.19083/tesis/687019,https://openalex.org/W7142941161,openalex,module_C_es,"La presente investigación analiza el impacto de la estabilidad política en las exportaciones de los países andinos miembros de la ALADI, Perú, Bolivia, Colombia y Ecuador, durante el período 2001 al 2023. Bajo un enfoque cuantitativo y con base en modelos de datos panel, se evalúa cómo las crisis políticas, los cambios de gobierno y el índice de gobernanza han influido sobre el desempeño exportador del bloque andino. Para ello, se emplearon cuatro modelos econométricos con distintas especificaciones, incorporando variables políticas e institucionales, así como variables macroeconómicas como el tipo de cambio real, el PIB per cápita, la apertura comercial y el riesgo país. Los resultados muestran que las variables políticas analizadas no tuvieron un impacto estadísticamente significativo sobre las exportaciones, mientras que variables como la apertura comercial, el tipo de cambio real y el PIB per cápita sí resultaron significativas en varios modelos. Estos hallazgos sugieren que el desempeño exportador de los países andinos se ve más afectado por factores estructurales y macroeconómicos que por episodios de inestabilidad política en el corto plazo. No obstante, se reconocen limitaciones metodológicas relacionadas con la operacionalización de las variables políticas y el tamaño del panel, por lo que se recomienda continuar la investigación con enfoques mixtos y mayor desagregación temporal. Esta tesis aporta evidencia empírica al debate sobre el rol de la institucionalidad política en el comercio internacional desde la perspectiva de América Latina.",PENDIENTE_ADJUNTAR,,PENDIENTE,,,,,,,,,,,PENDIENTE,,ALTA
R000048,Peru: democratic advances and democratic backsliding amid formidable challenges,Cynthia McClintock,2026,Handbook of Latin American Politics,10.4337/9781035325559.00083,https://doi.org/10.4337/9781035325559.00083,crossref,module_A_en,"Initiated in 2000, Peru's current democracy has survived longer than any in Peru's history. Previously, democracy was often attempted, but rarely sustained; the challenges—ethnic cleavages, poverty, and mistrust—were severe. Yet, for some two decades after 2000, Peru's level of democracy rose above the Latin American average; the elected governments respected political rights and facilitated economic growth with a measure of social and economic inclusion. But the 2021 election was fraught. Subsequent governments have abused democratic principles and have failed to address Peruvians’ concerns about corruption, citizen insecurity, and economic development that remains heavily dependent on mining. Peruvians are intensely dissatisfied; but the country's political parties are fragmented and currently, the outlook for the 2026 elections is bleak.",PENDIENTE_ADJUNTAR,,PENDIENTE,,,,,,,,,,,PENDIENTE,,ALTA
R000057,Populismo y retroceso democrático en América Latina,Alejandra Armesto,2025,Revista Latinoamericana sobre Democracia,10.22201/iis.rld.2025.00.10,https://doi.org/10.22201/iis.rld.2025.00.10,crossref,module_A_es,"En las últimas décadas del siglo xx, las transiciones de régimen político se enfocaron principalmente en procesos de democratización, mientras que los colapsos de regímenes democráticos se vinculaban a golpes de Estado (Huntington, 1991). En contraste, las primeras décadas del siglo xxi se han caracterizado por el retroceso democrático (Bermeo, 2016): entre 1994 y 2017, alrededor de setenta por ciento de los casos de autocratización fueron generados por líderes electos que minaron, de manera incremental, las instituciones democráticas (Lührmann y Lindberg, 2019). En América Latina, las democracias están estancadas, en retroceso democrático o en proceso de franca autocratización hacia autoritarismos competitivos —El Salvador— o altamente represivos —Venezuela y Nicaragua. (Mainwaring y Pérez-Liñán, 2023).",PENDIENTE_ADJUNTAR,,PENDIENTE,,,,,,,,,,,PENDIENTE,,ALTA
R000064,La militarización de la política democrática en América Latina y sus efectos sobre la calidad del régimen,Alexander Arciniegas-Carreño; Luis Antonio González-Tule; João Carlos Amoroso Botelho,2025,Íconos - Revista de Ciencias Sociales,10.17141/iconos.83.2025.6607,https://doi.org/10.17141/iconos.83.2025.6607,crossref,module_A_es,"La militarización de la política democrática es la concesión, por gobernantes electos democráticamente, de poder y tareas al personal militar en diferentes áreas. Ello excede la seguridad pública, pues en Brasil, Colombia y México abarca sectores que van desde el medioambiente hasta la salud. Se trata de una situación que no se asocia a una ideología, ya que ha tenido lugar en gobiernos de distintas orientaciones políticas. En el artículo se evalúan los efectos de este proceso sobre la calidad de la democracia en gestiones iniciadas o concluidas a partir de 2020 en los tres países mencionados. Con base en la propuesta metodológica del entendimiento, planteada por Leonardo Morlino, y desde una perspectiva comparada se presentan evidencias sobre los efectos de la militarización de la política democrática en el estado de derecho, en la accountability interinstitucional, en la libertad y en la responsividad. Además, se ahonda en la impunidad hacia crímenes cometidos por los militares en la seguridad pública, en la pérdida de control civil sobre las Fuerzas Armadas, en la falta de preparación del personal militar para encargarse de áreas en las que no tienen formación y en las violaciones a las libertades civiles de las poblaciones vulnerables. En distintos grados, esos hechos pueden ser observados en algunos o en los tres casos estudiados.",PENDIENTE_ADJUNTAR,,PENDIENTE,,,,,,,,,,,PENDIENTE,,ALTA
R000066,El fortalecimiento de la calidad de la democracia en América Latina. Una propuesta a partir de la gobernanza democrática,Jose Manuel Ledezma Rosas; Enoc Francisco Morán Torres,2020,Revista Eurolatinoamericana de Derecho Administrativo,10.14409/redoeda.v7i2.9721,https://doi.org/10.14409/redoeda.v7i2.9721,crossref,module_A_es,En este trabajo se analizará la postura de la gobernanza democrática en los países de Latinoamérica con el fin de responder a una probable solución a los problemas de la gobernabilidad democrática de la región.,PENDIENTE_ADJUNTAR,,PENDIENTE,,,,,,,,,,,PENDIENTE,,ALTA
R000070,Perspectivas sobre desenvolvimento democrático e qualidade da democracia: Brasil e América Latina,Maria Celina D’Araujo; Guilherme Leite Ribeiro,2016,Sociedade e Cultura,10.5216/sec.v18i2.42375,https://doi.org/10.5216/sec.v18i2.42375,crossref,module_A_pt,"O artigo apresenta um quadro geral do estado da democracia no Brasil e em outros 17países da América Latina e está dividido em duas partes. Na primeira, mostra-se que a democraciapolítica alcançou patamares inéditos nesses países e que melhorias substanciaisnos indicadores socioeconômicos são visíveis em praticamente todos eles. Explicita-seainda que a emergência de lideranças personalistas impacta negativamente os índices dedesenvolvimento democrático. Na segunda parte, enfocamos o caso brasileiro, que sedestaca também por dados positivos na área social e que tem aprovado uma série de medidascom vistas a aperfeiçoar controles eleitorais e de governo. O artigo argumenta queo processo de democratização e de liberalização política nesses países é inequívoco, masnem sempre linear e progressivo, e que o desrespeito pela vida bem como a persistentedesigualdade estrutural parecem demandar novas formas de pensar as práticas democráticasna América Latina.",PENDIENTE_ADJUNTAR,,PENDIENTE,,,,,,,,,,,PENDIENTE,,ALTA
