record_id,queue_priority,title_abstract_status,title,authors,year,source,database,profile,doi,record_url,fulltext_url,retrieval_status,pdf_identity_gate,eligibility_status,final_inclusion
R000001,1,provisional_include,Under Pressure: Explaining Backlash Against Civil Society in the Andean Community,Noah Anders Levine,2018,Scholarship @ Claremont (The Claremont Colleges),openalex,module_A_en,,https://openalex.org/W2891281268,https://scholarship.claremont.edu/cgi/viewcontent.cgi?article=1199&context=pomona_theses,pending,pending,pending,pending
R000005,1,provisional_include,A Lexical Index of Electoral Democracy,Svend‐Erik Skaaning; John Gerring; Henrikas Bartusevičius,2015,Comparative Political Studies,openalex,module_C_en,10.1177/0010414015581050,https://openalex.org/W2125688819,https://pure.au.dk/ws/files/110316577/A_Lexical_Index_of_Electoral_Democracy_postprint_2015.pdf,pending,pending,pending,pending
R000017,1,provisional_include,"An Ordinal, Concept-driven Approach to Measurement: The Lexical Scale",John Gerring; Daniel Pemstein; Svend‐Erik Skaaning,2018,Sociological Methods & Research,openalex,module_C_en,10.1177/0049124118782531,https://openalex.org/W2882834800,https://journals.sagepub.com/doi/pdf/10.1177/0049124118782531,pending,pending,pending,pending
R000019,1,provisional_include,"Quality Assessment of the Academic Freedom Index: Strengths, Weaknesses, and How Best to Use It",Lars Lott; Janika Spannagel,2025,Perspectives on Politics,openalex,module_C_en,10.1017/s1537592724001968,https://openalex.org/W4407763555,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/66A24D272BAC6A6191BED41942691ACD/S1537592724001968a.pdf/div-class-title-quality-assessment-of-the-academic-freedom-index-strengths-weaknesses-and-how-best-to-use-it-div.pdf,pending,pending,pending,pending
R000030,1,provisional_include,Estabilidad política y su impacto en las exportaciones de los países andinos miembros de la ALADI durante los años de 2001 al 2023,Denisse Angie Chuco Torres; Yovanna Katherine Sanchez Oropeza,2025,Universidad Peruana de Ciencias Aplicadas (UPC),openalex,module_C_es,10.19083/tesis/687019,https://openalex.org/W7142941161,https://repositorioacademico.upc.edu.pe/bitstream/10757/687019/1/Chuco_TD.pdf,pending,pending,pending,pending
R000048,1,provisional_include,Peru: democratic advances and democratic backsliding amid formidable challenges,Cynthia McClintock,2026,Handbook of Latin American Politics,crossref,module_A_en,10.4337/9781035325559.00083,https://doi.org/10.4337/9781035325559.00083,https://doi.org/10.4337/9781035325559.00083,pending,pending,pending,pending
R000057,1,provisional_include,Populismo y retroceso democrático en América Latina,Alejandra Armesto,2025,Revista Latinoamericana sobre Democracia,crossref,module_A_es,10.22201/iis.rld.2025.00.10,https://doi.org/10.22201/iis.rld.2025.00.10,https://www.rld.sociales.unam.mx/index.php/relade/article/download/10/5,pending,pending,pending,pending
R000064,1,provisional_include,La militarización de la política democrática en América Latina y sus efectos sobre la calidad del régimen,Alexander Arciniegas-Carreño; Luis Antonio González-Tule; João Carlos Amoroso Botelho,2025,Íconos - Revista de Ciencias Sociales,crossref,module_A_es,10.17141/iconos.83.2025.6607,https://doi.org/10.17141/iconos.83.2025.6607,https://iconos.flacsoandes.edu.ec/index.php/iconos/article/download/6607/4800,pending,pending,pending,pending
R000066,1,provisional_include,El fortalecimiento de la calidad de la democracia en América Latina. Una propuesta a partir de la gobernanza democrática,Jose Manuel Ledezma Rosas; Enoc Francisco Morán Torres,2020,Revista Eurolatinoamericana de Derecho Administrativo,crossref,module_A_es,10.14409/redoeda.v7i2.9721,https://doi.org/10.14409/redoeda.v7i2.9721,https://bibliotecavirtual.unl.edu.ar/publicaciones/index.php/Redoeda/article/download/9721/13557,pending,pending,pending,pending
R000070,1,provisional_include,Perspectivas sobre desenvolvimento democrático e qualidade da democracia: Brasil e América Latina,Maria Celina D’Araujo; Guilherme Leite Ribeiro,2016,Sociedade e Cultura,crossref,module_A_pt,10.5216/sec.v18i2.42375,https://doi.org/10.5216/sec.v18i2.42375,https://www.revistas.ufg.br/fchf/article/download/42375/21335,pending,pending,pending,pending
R000093,1,provisional_include,Cultura política y construcción de ciudadanía: hacia una Dirección de Participación Electoral en el Gobierno del Estado de México,ERICK JOSUE PEREZ DIAZ,2025,Espacios Públicos,crossref,module_B_es,10.36677/espaciospublicos.v26i64.24832,https://doi.org/10.36677/espaciospublicos.v26i64.24832,https://doi.org/10.36677/espaciospublicos.v26i64.24832,pending,pending,pending,pending
R000098,1,provisional_include,"Cuando la integridad electoral está en riesgo: democracia, fraude e instituciones en América Latina",Danillo Rafael Batista,2024,Revista Uruguaya de Ciencia Política,crossref,module_B_es,10.26851/rucp.33.10,https://doi.org/10.26851/rucp.33.10,https://rucp.cienciassociales.edu.uy/index.php/rucp/article/download/661/432,pending,pending,pending,pending
R000117,1,provisional_include,Propuesta de un Índice para la Medición de Democracia Económica en Costa Rica (Proposal of an index to measure economic democracy in Costa Rica),Lizette Brenes Bonilla; Ligia Bermúdez Mesén,2012,TEC Empresarial,crossref,module_C_es,10.18845/te.v6i1.581,https://doi.org/10.18845/te.v6i1.581,https://revistas.tec.ac.cr/index.php/tec_empresarial/article/download/581/506,pending,pending,pending,pending
R000127,1,provisional_include,"Foresight, scenarios and scenario planning",,2008,Foresight,crossref,module_D_en,10.4324/9780203894156-13,https://doi.org/10.4324/9780203894156-13,https://doi.org/10.4324/9780203894156-13,pending,pending,pending,pending
