record_id,title,year,profile,doi,fulltext_url,fulltext_status,identity_gate,eligibility,appraisal_tool,appraisal_status,article_section,evidence_role,democracy_dimension,scenario_link,claim_supported,citation_status
R000001,Under Pressure: Explaining Backlash Against Civil Society in the Andean Community,2018,module_A_en,,https://scholarship.claremont.edu/cgi/viewcontent.cgi?article=1199&context=pomona_theses,pending,pending,pending,pending_by_design,pending,pending,pending,pending,pending,pending,do_not_treat_as_final_inclusion
R000005,A Lexical Index of Electoral Democracy,2015,module_C_en,10.1177/0010414015581050,https://pure.au.dk/ws/files/110316577/A_Lexical_Index_of_Electoral_Democracy_postprint_2015.pdf,pending,pending,pending,pending_by_design,pending,pending,pending,pending,pending,pending,do_not_treat_as_final_inclusion
R000017,"An Ordinal, Concept-driven Approach to Measurement: The Lexical Scale",2018,module_C_en,10.1177/0049124118782531,https://journals.sagepub.com/doi/pdf/10.1177/0049124118782531,pending,pending,pending,pending_by_design,pending,pending,pending,pending,pending,pending,do_not_treat_as_final_inclusion
R000019,"Quality Assessment of the Academic Freedom Index: Strengths, Weaknesses, and How Best to Use It",2025,module_C_en,10.1017/s1537592724001968,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/66A24D272BAC6A6191BED41942691ACD/S1537592724001968a.pdf/div-class-title-quality-assessment-of-the-academic-freedom-index-strengths-weaknesses-and-how-best-to-use-it-div.pdf,pending,pending,pending,pending_by_design,pending,pending,pending,pending,pending,pending,do_not_treat_as_final_inclusion
R000030,Estabilidad política y su impacto en las exportaciones de los países andinos miembros de la ALADI durante los años de 2001 al 2023,2025,module_C_es,10.19083/tesis/687019,https://repositorioacademico.upc.edu.pe/bitstream/10757/687019/1/Chuco_TD.pdf,pending,pending,pending,pending_by_design,pending,pending,pending,pending,pending,pending,do_not_treat_as_final_inclusion
R000048,Peru: democratic advances and democratic backsliding amid formidable challenges,2026,module_A_en,10.4337/9781035325559.00083,https://doi.org/10.4337/9781035325559.00083,pending,pending,pending,pending_by_design,pending,pending,pending,pending,pending,pending,do_not_treat_as_final_inclusion
R000057,Populismo y retroceso democrático en América Latina,2025,module_A_es,10.22201/iis.rld.2025.00.10,https://www.rld.sociales.unam.mx/index.php/relade/article/download/10/5,pending,pending,pending,pending_by_design,pending,pending,pending,pending,pending,pending,do_not_treat_as_final_inclusion
R000064,La militarización de la política democrática en América Latina y sus efectos sobre la calidad del régimen,2025,module_A_es,10.17141/iconos.83.2025.6607,https://iconos.flacsoandes.edu.ec/index.php/iconos/article/download/6607/4800,pending,pending,pending,pending_by_design,pending,pending,pending,pending,pending,pending,do_not_treat_as_final_inclusion
R000066,El fortalecimiento de la calidad de la democracia en América Latina. Una propuesta a partir de la gobernanza democrática,2020,module_A_es,10.14409/redoeda.v7i2.9721,https://bibliotecavirtual.unl.edu.ar/publicaciones/index.php/Redoeda/article/download/9721/13557,pending,pending,pending,pending_by_design,pending,pending,pending,pending,pending,pending,do_not_treat_as_final_inclusion
R000070,Perspectivas sobre desenvolvimento democrático e qualidade da democracia: Brasil e América Latina,2016,module_A_pt,10.5216/sec.v18i2.42375,https://www.revistas.ufg.br/fchf/article/download/42375/21335,pending,pending,pending,pending_by_design,pending,pending,pending,pending,pending,pending,do_not_treat_as_final_inclusion
R000093,Cultura política y construcción de ciudadanía: hacia una Dirección de Participación Electoral en el Gobierno del Estado de México,2025,module_B_es,10.36677/espaciospublicos.v26i64.24832,https://doi.org/10.36677/espaciospublicos.v26i64.24832,pending,pending,pending,pending_by_design,pending,pending,pending,pending,pending,pending,do_not_treat_as_final_inclusion
R000098,"Cuando la integridad electoral está en riesgo: democracia, fraude e instituciones en América Latina",2024,module_B_es,10.26851/rucp.33.10,https://rucp.cienciassociales.edu.uy/index.php/rucp/article/download/661/432,pending,pending,pending,pending_by_design,pending,pending,pending,pending,pending,pending,do_not_treat_as_final_inclusion
R000117,Propuesta de un Índice para la Medición de Democracia Económica en Costa Rica (Proposal of an index to measure economic democracy in Costa Rica),2012,module_C_es,10.18845/te.v6i1.581,https://revistas.tec.ac.cr/index.php/tec_empresarial/article/download/581/506,pending,pending,pending,pending_by_design,pending,pending,pending,pending,pending,pending,do_not_treat_as_final_inclusion
R000127,"Foresight, scenarios and scenario planning",2008,module_D_en,10.4324/9780203894156-13,https://doi.org/10.4324/9780203894156-13,pending,pending,pending,pending_by_design,pending,pending,pending,pending,pending,pending,do_not_treat_as_final_inclusion
R000173,Elecciones Generales Perú 2021: claves para diseccionar las elecciones del Bicentenario,2021,module_E_es,10.53557/elecciones.2021.v20n21.14,https://doi.org/10.53557/elecciones.2021.v20n21.14,pending,pending,pending,pending_by_design,pending,pending,pending,pending,pending,pending,do_not_treat_as_final_inclusion
R000174,Elecciones Internas Perú 2022: abriendo la “caja negra” de los datos electorales,2022,module_E_es,10.53557/elecciones.2022.v21n23.11,https://revistas.onpe.gob.pe/index.php/elecciones/article/download/247/601,pending,pending,pending,pending_by_design,pending,pending,pending,pending,pending,pending,do_not_treat_as_final_inclusion
R000205,Reelección presidencial y retroceso democrático en América Latina,2024,module_A_es,,https://core.ac.uk/download/618593077.pdf,pending,pending,pending,pending_by_design,pending,pending,pending,pending,pending,pending,do_not_treat_as_final_inclusion
R000247,Replication data for: The Democracy Cluster Classification Index,2013,module_C_en,10.7910/dvn/6uwauq,https://core.ac.uk/download/268485845.pdf,pending,pending,pending,pending_by_design,pending,pending,pending,pending,pending,pending,do_not_treat_as_final_inclusion
R000248,Creating Composite Indicators with DEA and Robustness Analysis: the case of the Technology Achievement Index,2006,module_C_en,10.1057/palgrave.jors.2602445,https://core.ac.uk/download/7087829.pdf,pending,pending,pending,pending_by_design,pending,pending,pending,pending,pending,pending,do_not_treat_as_final_inclusion
R000251,La democracia en perspectiva: consideraciones teóricas y análisis de casos,2008,module_C_es,,https://core.ac.uk/download/79478659.pdf,pending,pending,pending,pending_by_design,pending,pending,pending,pending,pending,pending,do_not_treat_as_final_inclusion
R000252,"Da democracia representativa à democracia participativa: a auto-convocação popular, um mecanismo de aperfeiçoamento da representação política",2012,module_C_es,,https://core.ac.uk/download/30376264.pdf,pending,pending,pending,pending_by_design,pending,pending,pending,pending,pending,pending,do_not_treat_as_final_inclusion
R000271,Métodos de prospectiva estratégica y participación local en el análisis de estudios de futuro en áreas naturales protegidas,2023,module_D_es,10.3989/estgeogr.2023131.131,https://core.ac.uk/download/573452480.pdf,pending,pending,pending,pending_by_design,pending,pending,pending,pending,pending,pending,do_not_treat_as_final_inclusion
R000273,Método para a construção e análise de cenários prospectivos em planejamento educacional baseado na gestão do conhecimento,2012,module_D_pt,,https://core.ac.uk/download/30374115.pdf,pending,pending,pending,pending_by_design,pending,pending,pending,pending,pending,pending,do_not_treat_as_final_inclusion
R000283,Métodos e Técnicas em Cenários Prospectivos,2006,module_D_pt,,https://core.ac.uk/download/30355814.pdf,pending,pending,pending,pending_by_design,pending,pending,pending,pending,pending,pending,do_not_treat_as_final_inclusion
R000348,The Appeal of the Bukele Regime in Latin America: The Scope and Limits of Citizen Support,2026,module_A_en,10.1111/lamp.70069,https://doi.org/10.1111/lamp.70069,pending,pending,pending,pending_by_design,pending,pending,pending,pending,pending,pending,do_not_treat_as_final_inclusion
R000349,Floods and democratic attitudes: evidence from Latin America,2026,module_A_en,10.1007/s10584-026-04259-5,https://link.springer.com/content/pdf/10.1007/s10584-026-04259-5.pdf,pending,pending,pending,pending_by_design,pending,pending,pending,pending,pending,pending,do_not_treat_as_final_inclusion
R000352,What Can Latin America Tell Us about Subnational Democratic Erosion in the United States?,2026,module_A_en,10.1017/s1537592725000015,https://doi.org/10.1017/s1537592725000015,pending,pending,pending,pending_by_design,pending,pending,pending,pending,pending,pending,do_not_treat_as_final_inclusion
R000353,Public acceptance of environmental restrictions beyond high-income democracies,2026,module_A_en,10.1088/1748-9326/ae666e,https://iopscience.iop.org/article/10.1088/1748-9326/ae666e/pdf,pending,pending,pending,pending_by_design,pending,pending,pending,pending,pending,pending,do_not_treat_as_final_inclusion
R000358,Why resistance fails: unpopular legislative autocratization and opposition weakness in Peru,2026,module_A_en,10.1080/13510347.2026.2650393,https://doi.org/10.1080/13510347.2026.2650393,pending,pending,pending,pending_by_design,pending,pending,pending,pending,pending,pending,do_not_treat_as_final_inclusion
R000361,Supermajority rules in constitutional courts and democratic backsliding: a comparative analysis,2026,module_A_en,10.1080/13642987.2026.2711681,https://www.tandfonline.com/doi/pdf/10.1080/13642987.2026.2711681?needAccess=true,pending,pending,pending,pending_by_design,pending,pending,pending,pending,pending,pending,do_not_treat_as_final_inclusion
R000364,The Power and Perils of Participatory Democracy: Participatory Budgeting and Democracy in Peru,2026,module_A_en,10.1093/9780198948735.001.0001,https://doi.org/10.1093/9780198948735.001.0001,pending,pending,pending,pending_by_design,pending,pending,pending,pending,pending,pending,do_not_treat_as_final_inclusion
R000418,Asylum seekers’ response to political risk in their countries of origin: New evidence for asylum inflows to the OECD,2026,module_B_en,10.1093/migration/mnag032,https://doi.org/10.1093/migration/mnag032,pending,pending,pending,pending_by_design,pending,pending,pending,pending,pending,pending,do_not_treat_as_final_inclusion
R000432,The Override of Presidential Vetoes by the Peruvian Congress: Using Comparative Law to Derive a Proposal for Solving a Domestic Problem,2026,module_B_en,10.1515/ijli-2026-0001,https://doi.org/10.1515/ijli-2026-0001,pending,pending,pending,pending_by_design,pending,pending,pending,pending,pending,pending,do_not_treat_as_final_inclusion
R000438,Assessing Democratic Resilience in Latin America's AI Era: A Diagnostic Framework for Electoral Integrity Preparedness,2026,module_B_en,10.1080/00344893.2026.2614612,https://doi.org/10.1080/00344893.2026.2614612,pending,pending,pending,pending_by_design,pending,pending,pending,pending,pending,pending,do_not_treat_as_final_inclusion
R000518,"Opening or foreclosing futures? A longitudinal analysis of European bioeconomy foresight (SCAR, 2007–2020)",2026,module_D_en,10.1186/s40309-026-00274-y,https://doi.org/10.1186/s40309-026-00274-y,pending,pending,pending,pending_by_design,pending,pending,pending,pending,pending,pending,do_not_treat_as_final_inclusion
R000519,Bridging foresight and transition theory: policy mixes for transforming Europe’s food systems,2026,module_D_en,10.1186/s40309-026-00284-w,https://link.springer.com/content/pdf/10.1186/s40309-026-00284-w.pdf,pending,pending,pending,pending_by_design,pending,pending,pending,pending,pending,pending,do_not_treat_as_final_inclusion
R000535,Elite cohesion and policy consensus: Technocrats and politicians in Chile and Uruguay’s economic policy networks (2003–2012),2026,module_D_es,10.1177/00207152251358850,https://doi.org/10.1177/00207152251358850,pending,pending,pending,pending_by_design,pending,pending,pending,pending,pending,pending,do_not_treat_as_final_inclusion
R000541,Children of the revolution? Democratic innovations during the first 50 years of democracy in Portugal,2026,module_D_es,10.1017/s1682098325100052,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/178A56DA98F69E3BD3F3E5356A1FEC03/S1682098325100052a.pdf/div-class-title-children-of-the-revolution-democratic-innovations-during-the-first-50-years-of-democracy-in-portugal-div.pdf,pending,pending,pending,pending_by_design,pending,pending,pending,pending,pending,pending,do_not_treat_as_final_inclusion
R000543,Mi comprensión de la democracia: un resumen,2026,module_D_es,10.24201/es.2026v44.e3079,https://estudiossociologicos.colmex.mx/index.php/es/article/download/3079/3076,pending,pending,pending,pending_by_design,pending,pending,pending,pending,pending,pending,do_not_treat_as_final_inclusion
R000544,Large Language Models for Designing Participatory Budgeting Rules,2026,module_D_es,10.65109/lgep3560,https://doi.org/10.65109/lgep3560,pending,pending,pending,pending_by_design,pending,pending,pending,pending,pending,pending,do_not_treat_as_final_inclusion
R000567,Is national governance important for economic growth?,2026,module_D_pt,10.1590/0034-761220250224x,https://doi.org/10.1590/0034-761220250224x,pending,pending,pending,pending_by_design,pending,pending,pending,pending,pending,pending,do_not_treat_as_final_inclusion
R000569,Participatory foresight in subnational policy processes: two experiences in Peru,2026,module_D_pt,10.1108/fs-08-2025-0177,https://doi.org/10.1108/fs-08-2025-0177,pending,pending,pending,pending_by_design,pending,pending,pending,pending,pending,pending,do_not_treat_as_final_inclusion
R000575,"Toward a decolonial One Health: Findings from a participatory action research initiative with indigenous, Campesino, and Afro-descendant communities in the Amazon",2026,module_E_en,10.1016/j.onehlt.2026.101476,https://doi.org/10.1016/j.onehlt.2026.101476,pending,pending,pending,pending_by_design,pending,pending,pending,pending,pending,pending,do_not_treat_as_final_inclusion
R000593,The Indigenous land titling trap: adaptive practices and the limits of climate governance,2026,module_E_en,10.1016/j.worlddev.2026.107429,https://doi.org/10.1016/j.worlddev.2026.107429,pending,pending,pending,pending_by_design,pending,pending,pending,pending,pending,pending,do_not_treat_as_final_inclusion
