ID,Título,Autores,Año,Revista / fuente,Base,Perfil,DOI,URL,OA,Abstract,Modelo final,Confianza,Acción,Base de evidencia,Decisión humana,Revisor,URL full-text
R000059,La calidad de la democracia en el Perú y en América Latina,Martín Tanaka; Catalina Romero; Alberto Adrianzén; Steven Levitsky,2011,La democracia y sus instituciones en debate,crossref,module_A_es,10.18800/9789972429774.009,https://doi.org/10.18800/9789972429774.009,gold,"Este capítulo se refiere al panel del seminario «Calidad de la Democracia en el Perú y América Latina», en el que participaron Martín Tanaka —profesor de esta casa de estudios y actual coordinador de la especialidad de Ciencia Política— y Steven Levitsky —profesor de la Universidad de Harvard y profesor visitante en nuestra universidad en el semestre 2010-2—, investigadores que cuentan con estudios con perspectiva comparada referidos al tema en mención. Martín Tanaka ha desarrollado estudios sobre la democracia en la región andina, mientras Steven Levitsky ha trabajado los partidos políticos y los regímenes políticos en Argentina. Actualmente investiga los partidos políticos y el régimen democrático en el Perú.",qwen3.5:9b,1,route_academic_core,title+abstract,uncertain,local_reviewer,https://repositorio.pucp.edu.pe/bitstreams/180f762d-e0db-4d84-b5e2-bfe3be29002d/download
R000065,Luces y sombras de la calidad de la democracia en América Latina,Manuel Alcántara Saéz,2007,Revista Oficial del Poder Judicial. Órgano de Investigación de la Corte Suprema de Justicia de la República del Perú,crossref,module_A_es,10.35292/ropj.v2i2.154,https://doi.org/10.35292/ropj.v2i2.154,gold,"Se realiza en el artículo un estudio estadístico de la calidad de la democracia en América Latina, para lo cual se utiliza los índices deFreedom House, IDD (Fundación Honrad Adenauer), EIU (The Economist Intelligence Unit) y el elaborado por Levine Molina (2007),que ostentan una similitud altamente significativa , los cuales han constatando grandes diferencias en la calidad de la democracia a nivelde los países de América Latina.",qwen3:14b,0.49,route_academic_core,title+abstract,uncertain,local_reviewer,https://doi.org/10.35292/ropj.v2i2.154
R000071,DESCONSOLIDAÇÃO DEMOCRÁTICA NA AMÉRICA LATINA,Fidel Terenciano,2018,Democracia na América Latina,crossref,module_A_pt,10.2307/j.ctvn96fr4.11,https://doi.org/10.2307/j.ctvn96fr4.11,closed,,qwen3.5:9b,0.49,retrieve_fulltext,title,uncertain,local_reviewer,https://doi.org/10.2307/j.ctvn96fr4.11
R000072,"Democracia, desigualdades e corrupção: uma análise da qualidade democrática na América latina.",Maria Salete Souza de Amorim,2015,Século XXI – Revista de Ciências Sociais,crossref,module_A_pt,10.5902/2236672521590,https://doi.org/10.5902/2236672521590,diamond,"The debate on democracy and its quality have expanded in recent years, since most of the world countries have adopted democratic regime. Given the importance of this topic, this article aims to contribute to the discussions and studies on the quality of democracy in Latin America, a region which faces a set of political, economic and social problems and challenges in its recent democratic experience. Through a descriptive analysis of data, the aim is to analyze democracy quality indicators, socio-economic indicators and perception of corruption related to Mercosur countries, so as to establish relations between Latin American democracy reality and the current literature. It was observed that despite the consolidation of democratic procedures, democracies are characterized as hybrid, in which high levels of inequality and political corruption are present.",qwen3.5:9b,0.49,route_academic_core,metadata_only,uncertain,local_reviewer,https://periodicos.ufsm.br/seculoxxi/article/download/21590/13113
R000074,La controvertida democracia representativa,Hugo Quiroga,2019,Elecciones y legitimidad democrática en América Latina,crossref,module_A_pt,10.2307/j.ctvt6rkct.17,https://doi.org/10.2307/j.ctvt6rkct.17,closed,,qwen3:14b,1,none,title,uncertain,local_reviewer,https://doi.org/10.2307/j.ctvt6rkct.17
R000079,Peru: Executive v Legislative Wars Amidst a Global Pandemic,Trilce Valdivia,2024,Pandemocracy in Latin America,crossref,module_B_en,10.5040/9781509965304.ch-007,https://doi.org/10.5040/9781509965304.ch-007,closed,,qwen3.5:9b,0.49,retrieve_fulltext,title,uncertain,local_reviewer,https://doi.org/10.5040/9781509965304.ch-007
R000081,3 Peru,,2024,Why Presidents Fail,crossref,module_B_en,10.1515/9781503639560-006,https://doi.org/10.1515/9781503639560-006,closed,,qwen3.5:9b,0.49,retrieve_fulltext,title,uncertain,local_reviewer,http://dx.doi.org/10.1515/9781503639560-006
R000091,¿Participación ciudadana y cultura política en Colombia? Un contraste de las experiencias de la Asamblea Constituyente de Mogotes y del Proyecto Nasa del Cauca,González Nidia Catherine,2011,Culturas políticas en la región andina,crossref,module_B_es,10.31819/9783954871513-003,https://doi.org/10.31819/9783954871513-003,green,¿Participación ciudadana y cultura política en Colombia? Un contraste de las experiencias de la Asamblea Constituyente de Mogotes y del Proyecto Nasa del Cauca was published in Culturas políticas en la región andina on page 49.,qwen3.5:9b,0.49,route_academic_core,title+abstract,uncertain,local_reviewer,http://americanae.aecid.es/americanae/es/registros/registro.do?tipoRegistro=MTD&idBib=1128835
R000095,"Política de vivienda, organización del espacio y participación ciudadana",Martha Schteingart,2019,El derecho a la ciudad en América Latina,crossref,module_B_es,10.2307/j.ctvt6rm0z.5,https://doi.org/10.2307/j.ctvt6rm0z.5,closed,,qwen3:14b,1,none,title,uncertain,local_reviewer,https://doi.org/10.2307/j.ctvt6rm0z.5
R000097,"Representatividad, participación y política: nuevo foco para el viejo debate sobre la función pública en América Latina",Mercedes Iacovello,2012,Revista Buen Gobierno,crossref,module_B_es,10.35247/buengob_12_05,https://doi.org/10.35247/buengob_12_05,closed,,qwen3.5:9b,0.49,retrieve_fulltext,title,uncertain,local_reviewer,https://doi.org/10.35247/buengob_12_05
