record_id,queue_priority,title_abstract_status,title,authors,year,source,database,profile,doi,record_url,fulltext_url,retrieval_status,access_route,retrieval_evidence,pdf_identity_gate,fulltext_assessed,eligibility_status,final_inclusion,exclusion_reason,appraisal_tool,appraisal_rating,article_section,evidence_role,democracy_dimension,scenario_link,claim_supported,parameter_effect,review_note
R000001,1,provisional_include,Under Pressure: Explaining Backlash Against Civil Society in the Andean Community,Noah Anders Levine,2018,Scholarship @ Claremont (The Claremont Colleges),openalex,module_A_en,,https://openalex.org/W2891281268,https://scholarship.claremont.edu/cgi/viewcontent.cgi?article=1199&context=pomona_theses,retrieved,drive_open_access,Google Drive OA folder; local extraction drive_02.txt,passed,yes,eligible,included,,AACODS,moderada,Introducción y discusión,contexto de contracción del espacio cívico,libertades_civiles,restrictivo,La presión sobre la sociedad civil ayuda a interpretar riesgos de cierre del espacio cívico.,none; bibliographic evidence does not modify model parameters automatically,Support corpus for an original article; not a systematic-review outcome.
R000005,1,provisional_include,A Lexical Index of Electoral Democracy,Svend‐Erik Skaaning; John Gerring; Henrikas Bartusevičius,2015,Comparative Political Studies,openalex,module_C_en,10.1177/0010414015581050,https://openalex.org/W2125688819,https://pure.au.dk/ws/files/110316577/A_Lexical_Index_of_Electoral_Democracy_postprint_2015.pdf,retrieved,drive_open_access,Google Drive OA folder; local extraction drive_27.txt,passed,yes,eligible,included,,METHOD_RELEVANCE,alta,Métodos,fundamento de medición ordinal,medición_multidimensional,transversal,Las escalas ordinales exigen transparencia sobre reglas y límites inferenciales.,none; bibliographic evidence does not modify model parameters automatically,Support corpus for an original article; not a systematic-review outcome.
R000017,1,provisional_include,"An Ordinal, Concept-driven Approach to Measurement: The Lexical Scale",John Gerring; Daniel Pemstein; Svend‐Erik Skaaning,2018,Sociological Methods & Research,openalex,module_C_en,10.1177/0049124118782531,https://openalex.org/W2882834800,https://journals.sagepub.com/doi/pdf/10.1177/0049124118782531,retrieved,drive_open_access,Google Drive OA folder; local extraction drive_26.txt,passed,yes,eligible,included,,METHOD_RELEVANCE,alta,Métodos y limitaciones,validez de escalas democráticas,medición_multidimensional,transversal,La construcción de escalas democráticas requiere coherencia conceptual y comparabilidad.,none; bibliographic evidence does not modify model parameters automatically,Support corpus for an original article; not a systematic-review outcome.
R000019,1,provisional_include,"Quality Assessment of the Academic Freedom Index: Strengths, Weaknesses, and How Best to Use It",Lars Lott; Janika Spannagel,2025,Perspectives on Politics,openalex,module_C_en,10.1017/s1537592724001968,https://openalex.org/W4407763555,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/66A24D272BAC6A6191BED41942691ACD/S1537592724001968a.pdf/div-class-title-quality-assessment-of-the-academic-freedom-index-strengths-weaknesses-and-how-best-to-use-it-div.pdf,retrieved,drive_open_access,Google Drive OA folder; local extraction drive_06.txt,passed,yes,eligible,included,,MMAT_2018,alta,Métodos y limitaciones,calidad y cobertura de índices,medición_multidimensional,transversal,"Los índices comparados deben declarar cobertura, agregación e incertidumbre.",none; bibliographic evidence does not modify model parameters automatically,Support corpus for an original article; not a systematic-review outcome.
R000030,1,provisional_include,Estabilidad política y su impacto en las exportaciones de los países andinos miembros de la ALADI durante los años de 2001 al 2023,Denisse Angie Chuco Torres; Yovanna Katherine Sanchez Oropeza,2025,Universidad Peruana de Ciencias Aplicadas (UPC),openalex,module_C_es,10.19083/tesis/687019,https://openalex.org/W7142941161,https://repositorioacademico.upc.edu.pe/bitstream/10757/687019/1/Chuco_TD.pdf,retrieved,drive_open_access,Google Drive OA folder; local extraction drive_18.txt,passed,yes,excluded_after_fulltext,excluded,EXC_NO_DIRECT_CONTRIBUTION_TO_ORIGINAL_ARTICLE: Asociación macroeconómica sin aporte directo al problema democrático del manuscrito.,,,,,,,,none; bibliographic evidence does not modify model parameters automatically,Support corpus for an original article; not a systematic-review outcome.
R000048,1,provisional_include,Peru: democratic advances and democratic backsliding amid formidable challenges,Cynthia McClintock,2026,Handbook of Latin American Politics,crossref,module_A_en,10.4337/9781035325559.00083,https://doi.org/10.4337/9781035325559.00083,https://doi.org/10.4337/9781035325559.00083,not_retrieved,abstract_or_metadata_only,"Resumen o metadatos localizados, pero el texto completo legal no estuvo disponible.",not_applicable,no,not_assessed_fulltext,not_retrieved,NR_FULLTEXT_UNAVAILABLE,,,,,,,,none; bibliographic evidence does not modify model parameters automatically,Support corpus for an original article; not a systematic-review outcome.
R000057,1,provisional_include,Populismo y retroceso democrático en América Latina,Alejandra Armesto,2025,Revista Latinoamericana sobre Democracia,crossref,module_A_es,10.22201/iis.rld.2025.00.10,https://doi.org/10.22201/iis.rld.2025.00.10,https://www.rld.sociales.unam.mx/index.php/relade/article/download/10/5,retrieved,drive_open_access,Google Drive OA folder; local extraction drive_10.txt,passed,yes,eligible,included,,MMAT_2018,alta,Introducción y discusión,mecanismo populismo-retroceso,cultura_politica,restrictivo,El populismo puede articularse con procesos graduales de retroceso democrático.,none; bibliographic evidence does not modify model parameters automatically,Support corpus for an original article; not a systematic-review outcome.
R000064,1,provisional_include,La militarización de la política democrática en América Latina y sus efectos sobre la calidad del régimen,Alexander Arciniegas-Carreño; Luis Antonio González-Tule; João Carlos Amoroso Botelho,2025,Íconos - Revista de Ciencias Sociales,crossref,module_A_es,10.17141/iconos.83.2025.6607,https://doi.org/10.17141/iconos.83.2025.6607,https://iconos.flacsoandes.edu.ec/index.php/iconos/article/download/6607/4800,retrieved,drive_open_access,Google Drive OA folder; local extraction drive_15.txt,passed,yes,eligible,included,,MMAT_2018,alta,Discusión,militarización y control civil,funcionamiento_gobierno,restrictivo,La militarización amplía riesgos para controles civiles y rendición de cuentas.,none; bibliographic evidence does not modify model parameters automatically,Support corpus for an original article; not a systematic-review outcome.
R000066,1,provisional_include,El fortalecimiento de la calidad de la democracia en América Latina. Una propuesta a partir de la gobernanza democrática,Jose Manuel Ledezma Rosas; Enoc Francisco Morán Torres,2020,Revista Eurolatinoamericana de Derecho Administrativo,crossref,module_A_es,10.14409/redoeda.v7i2.9721,https://doi.org/10.14409/redoeda.v7i2.9721,https://bibliotecavirtual.unl.edu.ar/publicaciones/index.php/Redoeda/article/download/9721/13557,retrieved,drive_open_access,Google Drive OA folder; local extraction drive_21.txt,passed,yes,eligible,included,,MMAT_2018,moderada,Introducción y discusión,gobernanza democrática,funcionamiento_gobierno,recuperacion,La gobernanza democrática depende de instituciones eficaces y responsables.,none; bibliographic evidence does not modify model parameters automatically,Support corpus for an original article; not a systematic-review outcome.
R000070,1,provisional_include,Perspectivas sobre desenvolvimento democrático e qualidade da democracia: Brasil e América Latina,Maria Celina D’Araujo; Guilherme Leite Ribeiro,2016,Sociedade e Cultura,crossref,module_A_pt,10.5216/sec.v18i2.42375,https://doi.org/10.5216/sec.v18i2.42375,https://www.revistas.ufg.br/fchf/article/download/42375/21335,retrieved,drive_open_access,Google Drive OA folder; local extraction drive_11.txt,passed,yes,eligible,included,,MMAT_2018,alta,Introducción y discusión,enfoque multidimensional,medición_multidimensional,transversal,La calidad democrática debe interpretarse como un constructo multidimensional.,none; bibliographic evidence does not modify model parameters automatically,Support corpus for an original article; not a systematic-review outcome.
R000093,1,provisional_include,Cultura política y construcción de ciudadanía: hacia una Dirección de Participación Electoral en el Gobierno del Estado de México,ERICK JOSUE PEREZ DIAZ,2025,Espacios Públicos,crossref,module_B_es,10.36677/espaciospublicos.v26i64.24832,https://doi.org/10.36677/espaciospublicos.v26i64.24832,https://doi.org/10.36677/espaciospublicos.v26i64.24832,retrieved,drive_open_access,Google Drive OA folder; local extraction drive_22.txt,passed,yes,eligible,included,,MMAT_2018,moderada,Discusión,cultura política y ciudadanía,cultura_politica,continuidad,La participación y cultura cívica condicionan la sostenibilidad democrática.,none; bibliographic evidence does not modify model parameters automatically,Support corpus for an original article; not a systematic-review outcome.
R000098,1,provisional_include,"Cuando la integridad electoral está en riesgo: democracia, fraude e instituciones en América Latina",Danillo Rafael Batista,2024,Revista Uruguaya de Ciencia Política,crossref,module_B_es,10.26851/rucp.33.10,https://doi.org/10.26851/rucp.33.10,https://rucp.cienciassociales.edu.uy/index.php/rucp/article/download/661/432,retrieved,legal_open_web,publisher_OA_pdf,passed,yes,eligible,included,,MMAT_2018,alta,Métodos y discusión,integridad electoral,proceso_electoral,transversal,La integridad electoral es una dimensión diferenciada de la calidad democrática.,none; bibliographic evidence does not modify model parameters automatically,Support corpus for an original article; not a systematic-review outcome.
R000117,1,provisional_include,Propuesta de un Índice para la Medición de Democracia Económica en Costa Rica (Proposal of an index to measure economic democracy in Costa Rica),Lizette Brenes Bonilla; Ligia Bermúdez Mesén,2012,TEC Empresarial,crossref,module_C_es,10.18845/te.v6i1.581,https://doi.org/10.18845/te.v6i1.581,https://revistas.tec.ac.cr/index.php/tec_empresarial/article/download/581/506,retrieved,drive_open_access,Google Drive OA folder; local extraction drive_08.txt,passed,yes,excluded_after_fulltext,excluded,"EXC_WRONG_CONSTRUCT_OR_OUTCOME: El índice analizado mide democracia económica, no calidad democrática ni funcionamiento gubernamental.",,,,,,,,none; bibliographic evidence does not modify model parameters automatically,Support corpus for an original article; not a systematic-review outcome.
