record_id,queue_priority,title_abstract_status,title,authors,year,source,database,profile,doi,record_url,fulltext_url,retrieval_status,access_route,retrieval_evidence,pdf_identity_gate,fulltext_assessed,eligibility_status,final_inclusion,exclusion_reason,appraisal_tool,appraisal_rating,article_section,evidence_role,democracy_dimension,scenario_link,claim_supported,parameter_effect,review_note
R000030,1,provisional_include,Estabilidad política y su impacto en las exportaciones de los países andinos miembros de la ALADI durante los años de 2001 al 2023,Denisse Angie Chuco Torres; Yovanna Katherine Sanchez Oropeza,2025,Universidad Peruana de Ciencias Aplicadas (UPC),openalex,module_C_es,10.19083/tesis/687019,https://openalex.org/W7142941161,https://repositorioacademico.upc.edu.pe/bitstream/10757/687019/1/Chuco_TD.pdf,retrieved,drive_open_access,Google Drive OA folder; local extraction drive_18.txt,passed,yes,excluded_after_fulltext,excluded,EXC_NO_DIRECT_CONTRIBUTION_TO_ORIGINAL_ARTICLE: Asociación macroeconómica sin aporte directo al problema democrático del manuscrito.,,,,,,,,none; bibliographic evidence does not modify model parameters automatically,Support corpus for an original article; not a systematic-review outcome.
R000117,1,provisional_include,Propuesta de un Índice para la Medición de Democracia Económica en Costa Rica (Proposal of an index to measure economic democracy in Costa Rica),Lizette Brenes Bonilla; Ligia Bermúdez Mesén,2012,TEC Empresarial,crossref,module_C_es,10.18845/te.v6i1.581,https://doi.org/10.18845/te.v6i1.581,https://revistas.tec.ac.cr/index.php/tec_empresarial/article/download/581/506,retrieved,drive_open_access,Google Drive OA folder; local extraction drive_08.txt,passed,yes,excluded_after_fulltext,excluded,"EXC_WRONG_CONSTRUCT_OR_OUTCOME: El índice analizado mide democracia económica, no calidad democrática ni funcionamiento gubernamental.",,,,,,,,none; bibliographic evidence does not modify model parameters automatically,Support corpus for an original article; not a systematic-review outcome.
R000349,1,provisional_include,Floods and democratic attitudes: evidence from Latin America,Birch S.,2026,Climatic Change,scopus,module_A_en,10.1007/s10584-026-04259-5,https://api.elsevier.com/content/abstract/scopus_id/105046505257,https://link.springer.com/content/pdf/10.1007/s10584-026-04259-5.pdf,retrieved,drive_open_access,Google Drive OA folder; local extraction drive_17.txt,passed,yes,excluded_after_fulltext,excluded,EXC_NO_DIRECT_CONTRIBUTION_TO_ORIGINAL_ARTICLE: El análisis de inundaciones y actitudes democráticas no sostiene una afirmación central del artículo.,,,,,,,,none; bibliographic evidence does not modify model parameters automatically,Support corpus for an original article; not a systematic-review outcome.
R000352,1,provisional_include,What Can Latin America Tell Us about Subnational Democratic Erosion in the United States?,Eaton K.,2026,Perspectives on Politics,scopus,module_A_en,10.1017/s1537592725000015,https://api.elsevier.com/content/abstract/scopus_id/105001289217,https://doi.org/10.1017/s1537592725000015,retrieved,drive_open_access,Google Drive OA folder; local extraction drive_01.txt,passed,yes,excluded_after_fulltext,excluded,EXC_CONTEXT_NOT_TRANSFERABLE: La comparación regional no ofrece un mecanismo transferible al caso peruano estudiado.,,,,,,,,none; bibliographic evidence does not modify model parameters automatically,Support corpus for an original article; not a systematic-review outcome.
R000353,1,provisional_include,Public acceptance of environmental restrictions beyond high-income democracies,Jud S.,2026,Environmental Research Letters,scopus,module_A_en,10.1088/1748-9326/ae666e,https://api.elsevier.com/content/abstract/scopus_id/105040031341,https://iopscience.iop.org/article/10.1088/1748-9326/ae666e/pdf,retrieved,drive_open_access,Google Drive OA folder; local extraction drive_07.txt,passed,yes,excluded_after_fulltext,excluded,EXC_NO_DIRECT_CONTRIBUTION_TO_ORIGINAL_ARTICLE: Las restricciones ambientales no aportan evidencia directa a dimensiones o escenarios del visor.,,,,,,,,none; bibliographic evidence does not modify model parameters automatically,Support corpus for an original article; not a systematic-review outcome.
R000518,1,provisional_include,"Opening or foreclosing futures? A longitudinal analysis of European bioeconomy foresight (SCAR, 2007–2020)",Vastenaekels J.,2026,European Journal of Futures Research,scopus,module_D_en,10.1186/s40309-026-00274-y,https://api.elsevier.com/content/abstract/scopus_id/105040913650,https://doi.org/10.1186/s40309-026-00274-y,retrieved,drive_open_access,Google Drive OA folder; local extraction drive_12.txt,passed,yes,excluded_after_fulltext,excluded,EXC_NO_DIRECT_CONTRIBUTION_TO_ORIGINAL_ARTICLE: La prospectiva de bioeconomía no corresponde al dominio institucional del estudio.,,,,,,,,none; bibliographic evidence does not modify model parameters automatically,Support corpus for an original article; not a systematic-review outcome.
R000519,1,provisional_include,Bridging foresight and transition theory: policy mixes for transforming Europe’s food systems,Lorenz U.,2026,European Journal of Futures Research,scopus,module_D_en,10.1186/s40309-026-00284-w,https://api.elsevier.com/content/abstract/scopus_id/105046460366,https://link.springer.com/content/pdf/10.1186/s40309-026-00284-w.pdf,retrieved,drive_open_access,Google Drive OA folder; local extraction drive_25.txt,passed,yes,excluded_after_fulltext,excluded,EXC_NO_DIRECT_CONTRIBUTION_TO_ORIGINAL_ARTICLE: La transición alimentaria prospectiva no sustenta el modelo ni la discusión democrática.,,,,,,,,none; bibliographic evidence does not modify model parameters automatically,Support corpus for an original article; not a systematic-review outcome.
R000541,1,provisional_include,Children of the revolution? Democratic innovations during the first 50 years of democracy in Portugal,Falanga R.,2026,European Political Science,scopus,module_D_es,10.1017/s1682098325100052,https://api.elsevier.com/content/abstract/scopus_id/105035700778,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/178A56DA98F69E3BD3F3E5356A1FEC03/S1682098325100052a.pdf/div-class-title-children-of-the-revolution-democratic-innovations-during-the-first-50-years-of-democracy-in-portugal-div.pdf,retrieved,drive_open_access,Google Drive OA folder; local extraction drive_24.txt,passed,yes,excluded_after_fulltext,excluded,EXC_CONTEXT_NOT_TRANSFERABLE: La innovación democrática portuguesa no es transferible sin un puente comparativo al Perú.,,,,,,,,none; bibliographic evidence does not modify model parameters automatically,Support corpus for an original article; not a systematic-review outcome.
R000544,1,provisional_include,Large Language Models for Designing Participatory Budgeting Rules,Thach N.,2026,Aamas 2026 Proceedings of the 25th International Conference on Autonomous Agents and Multiagent Systems,scopus,module_D_es,10.65109/lgep3560,https://api.elsevier.com/content/abstract/scopus_id/105041395589,https://doi.org/10.65109/lgep3560,retrieved,drive_open_access,Google Drive OA folder; local extraction drive_14.txt,passed,yes,excluded_after_fulltext,excluded,EXC_NO_DIRECT_CONTRIBUTION_TO_ORIGINAL_ARTICLE: La aplicación de LLM al presupuesto participativo no se vincula con las variables del visor.,,,,,,,,none; bibliographic evidence does not modify model parameters automatically,Support corpus for an original article; not a systematic-review outcome.
R000567,1,provisional_include,Is national governance important for economic growth?,dos Santos T.M.,2026,Revista De Administracao Publica,scopus,module_D_pt,10.1590/0034-761220250224x,https://api.elsevier.com/content/abstract/scopus_id/105034806404,https://doi.org/10.1590/0034-761220250224x,retrieved,drive_open_access,Google Drive OA folder; local extraction drive_16.txt,passed,yes,excluded_after_fulltext,excluded,"EXC_WRONG_CONSTRUCT_OR_OUTCOME: El resultado principal es crecimiento económico, no erosión o calidad democrática.",,,,,,,,none; bibliographic evidence does not modify model parameters automatically,Support corpus for an original article; not a systematic-review outcome.
