record_id,queue_priority,title_abstract_status,title,authors,year,source,database,profile,doi,record_url,fulltext_url,retrieval_status,access_route,retrieval_evidence,pdf_identity_gate,fulltext_assessed,eligibility_status,final_inclusion,exclusion_reason,appraisal_tool,appraisal_rating,article_section,evidence_role,democracy_dimension,scenario_link,claim_supported,parameter_effect,review_note
R000048,1,provisional_include,Peru: democratic advances and democratic backsliding amid formidable challenges,Cynthia McClintock,2026,Handbook of Latin American Politics,crossref,module_A_en,10.4337/9781035325559.00083,https://doi.org/10.4337/9781035325559.00083,https://doi.org/10.4337/9781035325559.00083,not_retrieved,abstract_or_metadata_only,"Resumen o metadatos localizados, pero el texto completo legal no estuvo disponible.",not_applicable,no,not_assessed_fulltext,not_retrieved,NR_FULLTEXT_UNAVAILABLE,,,,,,,,none; bibliographic evidence does not modify model parameters automatically,Support corpus for an original article; not a systematic-review outcome.
R000127,1,provisional_include,"Foresight, scenarios and scenario planning",,2008,Foresight,crossref,module_D_en,10.4324/9780203894156-13,https://doi.org/10.4324/9780203894156-13,https://doi.org/10.4324/9780203894156-13,not_retrieved,abstract_or_metadata_only,"Resumen o metadatos localizados, pero el texto completo legal no estuvo disponible.",not_applicable,no,not_assessed_fulltext,not_retrieved,NR_FULLTEXT_UNAVAILABLE,,,,,,,,none; bibliographic evidence does not modify model parameters automatically,Support corpus for an original article; not a systematic-review outcome.
R000247,1,provisional_include,Replication data for: The Democracy Cluster Classification Index,"Gugiu,  Mihaiela Ristei; Centellas, Miguel",2013,,core,module_C_en,10.7910/dvn/6uwauq,https://core.ac.uk/download/268485845.pdf,https://core.ac.uk/download/268485845.pdf,not_retrieved,unavailable,"No se obtuvo texto completo verificable mediante Drive, repositorio o editor de acceso abierto.",not_applicable,no,not_assessed_fulltext,not_retrieved,NR_FULLTEXT_UNAVAILABLE,,,,,,,,none; bibliographic evidence does not modify model parameters automatically,Support corpus for an original article; not a systematic-review outcome.
R000251,1,provisional_include,La democracia en perspectiva: consideraciones teóricas y análisis de casos,"Lopez Leyva, Miguel Armando; Labastida Martin del Campo, Julio; Castanos, Fernando",2008,,core,module_C_es,,https://core.ac.uk/download/79478659.pdf,https://core.ac.uk/download/79478659.pdf,not_retrieved,unavailable,"No se obtuvo texto completo verificable mediante Drive, repositorio o editor de acceso abierto.",not_applicable,no,not_assessed_fulltext,not_retrieved,NR_FULLTEXT_UNAVAILABLE,,,,,,,,none; bibliographic evidence does not modify model parameters automatically,Support corpus for an original article; not a systematic-review outcome.
R000252,1,provisional_include,"Da democracia representativa à democracia participativa: a auto-convocação popular, um mecanismo de aperfeiçoamento da representação política","Carvalho, Kátia de",2012,,core,module_C_es,,https://core.ac.uk/download/30376264.pdf,https://core.ac.uk/download/30376264.pdf,not_retrieved,unavailable,"No se obtuvo texto completo verificable mediante Drive, repositorio o editor de acceso abierto.",not_applicable,no,not_assessed_fulltext,not_retrieved,NR_FULLTEXT_UNAVAILABLE,,,,,,,,none; bibliographic evidence does not modify model parameters automatically,Support corpus for an original article; not a systematic-review outcome.
R000273,1,provisional_include,Método para a construção e análise de cenários prospectivos em planejamento educacional baseado na gestão do conhecimento,"Thiesen, Juares da Silva",2012,,core,module_D_pt,,https://core.ac.uk/download/30374115.pdf,https://core.ac.uk/download/30374115.pdf,not_retrieved,unavailable,"No se obtuvo texto completo verificable mediante Drive, repositorio o editor de acceso abierto.",not_applicable,no,not_assessed_fulltext,not_retrieved,NR_FULLTEXT_UNAVAILABLE,,,,,,,,none; bibliographic evidence does not modify model parameters automatically,Support corpus for an original article; not a systematic-review outcome.
R000283,1,provisional_include,Métodos e Técnicas em Cenários Prospectivos,"Lapolli, Edis Mafra; Bernardes, José Francisco",2006,,core,module_D_pt,,https://core.ac.uk/download/30355814.pdf,https://core.ac.uk/download/30355814.pdf,not_retrieved,unavailable,"No se obtuvo texto completo verificable mediante Drive, repositorio o editor de acceso abierto.",not_applicable,no,not_assessed_fulltext,not_retrieved,NR_FULLTEXT_UNAVAILABLE,,,,,,,,none; bibliographic evidence does not modify model parameters automatically,Support corpus for an original article; not a systematic-review outcome.
R000348,1,provisional_include,The Appeal of the Bukele Regime in Latin America: The Scope and Limits of Citizen Support,Rosen J.D.,2026,Latin American Policy,scopus,module_A_en,10.1111/lamp.70069,https://api.elsevier.com/content/abstract/scopus_id/105046833808,https://doi.org/10.1111/lamp.70069,not_retrieved,abstract_or_metadata_only,"Resumen o metadatos localizados, pero el texto completo legal no estuvo disponible.",not_applicable,no,not_assessed_fulltext,not_retrieved,NR_FULLTEXT_UNAVAILABLE,,,,,,,,none; bibliographic evidence does not modify model parameters automatically,Support corpus for an original article; not a systematic-review outcome.
R000358,1,provisional_include,Why resistance fails: unpopular legislative autocratization and opposition weakness in Peru,Coronel O.,2026,Democratization,scopus,module_A_en,10.1080/13510347.2026.2650393,https://api.elsevier.com/content/abstract/scopus_id/105035774449,https://doi.org/10.1080/13510347.2026.2650393,not_retrieved,abstract_or_metadata_only,"Resumen o metadatos localizados, pero el texto completo legal no estuvo disponible.",not_applicable,no,not_assessed_fulltext,not_retrieved,NR_FULLTEXT_UNAVAILABLE,,,,,,,,none; bibliographic evidence does not modify model parameters automatically,Support corpus for an original article; not a systematic-review outcome.
R000364,1,provisional_include,The Power and Perils of Participatory Democracy: Participatory Budgeting and Democracy in Peru,Abbott J.,2026,Power and Perils of Participatory Democracy Participatory Budgeting and Democracy in Peru,scopus,module_A_en,10.1093/9780198948735.001.0001,https://api.elsevier.com/content/abstract/scopus_id/105035037406,https://doi.org/10.1093/9780198948735.001.0001,not_retrieved,unavailable,"No se obtuvo texto completo verificable mediante Drive, repositorio o editor de acceso abierto.",not_applicable,no,not_assessed_fulltext,not_retrieved,NR_FULLTEXT_UNAVAILABLE,,,,,,,,none; bibliographic evidence does not modify model parameters automatically,Support corpus for an original article; not a systematic-review outcome.
