Perfil,Fuente,Idioma,Rol / módulo,String ejecutado,Prioridad
module_A_es,openalex,es,Erosión y calidad democrática,erosión democrática retroceso democrático autocratización régimen híbrido calidad de la democracia Perú América Latina región andina,1
module_A_es,crossref,es,Erosión y calidad democrática,erosión democrática retroceso democrático autocratización régimen híbrido calidad de la democracia Perú América Latina región andina,1
module_A_es,semantic_scholar,es,Erosión y calidad democrática,"""erosión democrática"" ""retroceso democrático"" autocratización ""régimen híbrido"" ""calidad de la democracia"" Perú ""América Latina"" ""región andina""",1
module_A_es,core,es,Erosión y calidad democrática,erosión democrática retroceso democrático autocratización régimen híbrido calidad de la democracia Perú América Latina región andina,1
module_A_es,arxiv,es,Erosión y calidad democrática,"""erosión democrática"" ""retroceso democrático"" autocratización ""régimen híbrido"" ""calidad de la democracia"" Perú ""América Latina"" ""región andina""",1
module_A_es,scopus,es,Erosión y calidad democrática,"(""erosión democrática"" OR ""retroceso democrático"" OR autocratización OR ""régimen híbrido"" OR ""calidad de la democracia"") AND (Perú OR ""América Latina"" OR ""región andina"")",1
module_A_es,scielo,es,Erosión y calidad democrática,erosión democrática retroceso democrático autocratización régimen híbrido calidad de la democracia Perú América Latina región andina,1
module_A_en,openalex,en,Erosión y calidad democrática,democratic erosion democratic backsliding autocratization hybrid regime quality of democracy Peru Latin America Andean region,1
module_A_en,crossref,en,Erosión y calidad democrática,democratic erosion democratic backsliding autocratization hybrid regime quality of democracy Peru Latin America Andean region,1
module_A_en,semantic_scholar,en,Erosión y calidad democrática,"""democratic erosion"" ""democratic backsliding"" autocratization ""hybrid regime"" ""quality of democracy"" Peru ""Latin America"" ""Andean region""",1
module_A_en,core,en,Erosión y calidad democrática,democratic erosion democratic backsliding autocratization hybrid regime quality of democracy Peru Latin America Andean region,1
module_A_en,arxiv,en,Erosión y calidad democrática,"""democratic erosion"" ""democratic backsliding"" autocratization ""hybrid regime"" ""quality of democracy"" Peru ""Latin America"" ""Andean region""",1
module_A_en,scopus,en,Erosión y calidad democrática,"TITLE-ABS-KEY((""democratic erosion"" OR ""democratic backsliding"" OR autocratization OR ""hybrid regime"" OR ""quality of democracy"") AND (Peru OR ""Latin America"" OR ""Andean region""))",1
module_A_en,scielo,en,Erosión y calidad democrática,democratic erosion democratic backsliding autocratization hybrid regime quality of democracy Peru Latin America Andean region,1
module_A_pt,openalex,pt,Erosión y calidad democrática,erosão democrática retrocesso democrático autocratização regime híbrido qualidade da democracia Peru América Latina região andina,1
module_A_pt,crossref,pt,Erosión y calidad democrática,erosão democrática retrocesso democrático autocratização regime híbrido qualidade da democracia Peru América Latina região andina,1
module_A_pt,semantic_scholar,pt,Erosión y calidad democrática,"""erosão democrática"" ""retrocesso democrático"" autocratização ""regime híbrido"" ""qualidade da democracia"" Peru ""América Latina"" ""região andina""",1
module_A_pt,core,pt,Erosión y calidad democrática,erosão democrática retrocesso democrático autocratização regime híbrido qualidade da democracia Peru América Latina região andina,1
module_A_pt,arxiv,pt,Erosión y calidad democrática,"""erosão democrática"" ""retrocesso democrático"" autocratização ""regime híbrido"" ""qualidade da democracia"" Peru ""América Latina"" ""região andina""",1
module_A_pt,scopus,pt,Erosión y calidad democrática,"(""erosão democrática"" OR ""retrocesso democrático"" OR autocratização OR ""regime híbrido"" OR ""qualidade da democracia"") AND (Peru OR ""América Latina"" OR ""região andina"")",1
module_A_pt,scielo,pt,Erosión y calidad democrática,erosão democrática retrocesso democrático autocratização regime híbrido qualidade da democracia Peru América Latina região andina,1
module_B_es,openalex,es,"Dimensiones, instituciones, elecciones y derechos",Perú América Latina región andina integridad electoral funcionamiento del gobierno participación política cultura política libertades civiles controles y contrapesos relaciones Ejecutivo-Congreso securitización,2
module_B_es,crossref,es,"Dimensiones, instituciones, elecciones y derechos",Perú América Latina región andina integridad electoral funcionamiento del gobierno participación política cultura política libertades civiles controles y contrapesos relaciones Ejecutivo-Congreso securitización,2
module_B_es,semantic_scholar,es,"Dimensiones, instituciones, elecciones y derechos","Perú ""América Latina"" ""región andina"" ""integridad electoral"" ""funcionamiento del gobierno"" ""participación política"" ""cultura política"" ""libertades civiles"" ""controles y contrapesos"" ""relaciones Ejecutivo-Congreso"" securitización",2
module_B_es,core,es,"Dimensiones, instituciones, elecciones y derechos",Perú América Latina región andina integridad electoral funcionamiento del gobierno participación política cultura política libertades civiles controles y contrapesos relaciones Ejecutivo-Congreso securitización,2
module_B_es,arxiv,es,"Dimensiones, instituciones, elecciones y derechos","Perú ""América Latina"" ""región andina"" ""integridad electoral"" ""funcionamiento del gobierno"" ""participación política"" ""cultura política"" ""libertades civiles"" ""controles y contrapesos"" ""relaciones Ejecutivo-Congreso"" securitización",2
module_B_es,scopus,es,"Dimensiones, instituciones, elecciones y derechos","(Perú OR ""América Latina"" OR ""región andina"") AND (""integridad electoral"" OR ""funcionamiento del gobierno"" OR ""participación política"" OR ""cultura política"" OR ""libertades civiles"" OR ""controles y contrapesos"" OR ""relaciones Ejecutivo-Congreso"" OR securitización)",2
module_B_es,scielo,es,"Dimensiones, instituciones, elecciones y derechos",Perú América Latina región andina integridad electoral funcionamiento del gobierno participación política cultura política libertades civiles controles y contrapesos relaciones Ejecutivo-Congreso securitización,2
module_B_en,openalex,en,"Dimensiones, instituciones, elecciones y derechos",Peru Latin America Andean region electoral integrity functioning of government political participation political culture civil liberties checks balances executive-legislative relations securitization,2
module_B_en,crossref,en,"Dimensiones, instituciones, elecciones y derechos",Peru Latin America Andean region electoral integrity functioning of government political participation political culture civil liberties checks balances executive-legislative relations securitization,2
module_B_en,semantic_scholar,en,"Dimensiones, instituciones, elecciones y derechos","Peru ""Latin America"" ""Andean region"" ""electoral integrity"" ""functioning of government"" ""political participation"" ""political culture"" ""civil liberties"" ""checks balances"" ""executive-legislative relations"" securitization",2
module_B_en,core,en,"Dimensiones, instituciones, elecciones y derechos",Peru Latin America Andean region electoral integrity functioning of government political participation political culture civil liberties checks balances executive-legislative relations securitization,2
module_B_en,arxiv,en,"Dimensiones, instituciones, elecciones y derechos","Peru ""Latin America"" ""Andean region"" ""electoral integrity"" ""functioning of government"" ""political participation"" ""political culture"" ""civil liberties"" ""checks balances"" ""executive-legislative relations"" securitization",2
module_B_en,scopus,en,"Dimensiones, instituciones, elecciones y derechos","TITLE-ABS-KEY((Peru OR ""Latin America"" OR ""Andean region"") AND (""electoral integrity"" OR ""functioning of government"" OR ""political participation"" OR ""political culture"" OR ""civil liberties"" OR ""checks and balances"" OR ""executive-legislative relations"" OR securitization))",2
module_B_en,scielo,en,"Dimensiones, instituciones, elecciones y derechos",Peru Latin America Andean region electoral integrity functioning of government political participation political culture civil liberties checks balances executive-legislative relations securitization,2
module_B_pt,openalex,pt,"Dimensiones, instituciones, elecciones y derechos",Peru América Latina região andina integridade eleitoral funcionamento do governo participação política cultura política liberdades civis freios e contrapesos relações Executivo-Legislativo securitização,2
module_B_pt,crossref,pt,"Dimensiones, instituciones, elecciones y derechos",Peru América Latina região andina integridade eleitoral funcionamento do governo participação política cultura política liberdades civis freios e contrapesos relações Executivo-Legislativo securitização,2
module_B_pt,semantic_scholar,pt,"Dimensiones, instituciones, elecciones y derechos","Peru ""América Latina"" ""região andina"" ""integridade eleitoral"" ""funcionamento do governo"" ""participação política"" ""cultura política"" ""liberdades civis"" ""freios e contrapesos"" ""relações Executivo-Legislativo"" securitização",2
module_B_pt,core,pt,"Dimensiones, instituciones, elecciones y derechos",Peru América Latina região andina integridade eleitoral funcionamento do governo participação política cultura política liberdades civis freios e contrapesos relações Executivo-Legislativo securitização,2
module_B_pt,arxiv,pt,"Dimensiones, instituciones, elecciones y derechos","Peru ""América Latina"" ""região andina"" ""integridade eleitoral"" ""funcionamento do governo"" ""participação política"" ""cultura política"" ""liberdades civis"" ""freios e contrapesos"" ""relações Executivo-Legislativo"" securitização",2
module_B_pt,scopus,pt,"Dimensiones, instituciones, elecciones y derechos","(Peru OR ""América Latina"" OR ""região andina"") AND (""integridade eleitoral"" OR ""funcionamento do governo"" OR ""participação política"" OR ""cultura política"" OR ""liberdades civis"" OR ""freios e contrapesos"" OR ""relações Executivo-Legislativo"" OR securitização)",2
module_B_pt,scielo,pt,"Dimensiones, instituciones, elecciones y derechos",Peru América Latina região andina integridade eleitoral funcionamento do governo participação política cultura política liberdades civis freios e contrapesos relações Executivo-Legislativo securitização,2
module_C_es,openalex,es,"Medición democrática, índices, validez e incertidumbre",medición de la democracia índice de democracia índice compuesto dimensión latente validación validez incertidumbre análisis de sensibilidad,3
module_C_es,crossref,es,"Medición democrática, índices, validez e incertidumbre",medición de la democracia índice de democracia índice compuesto dimensión latente validación validez incertidumbre análisis de sensibilidad,3
module_C_es,semantic_scholar,es,"Medición democrática, índices, validez e incertidumbre","""medición de la democracia"" ""índice de democracia"" ""índice compuesto"" ""dimensión latente"" validación validez incertidumbre ""análisis de sensibilidad""",3
module_C_es,core,es,"Medición democrática, índices, validez e incertidumbre",medición de la democracia índice de democracia índice compuesto dimensión latente validación validez incertidumbre análisis de sensibilidad,3
module_C_es,arxiv,es,"Medición democrática, índices, validez e incertidumbre","""medición de la democracia"" ""índice de democracia"" ""índice compuesto"" ""dimensión latente"" validación validez incertidumbre ""análisis de sensibilidad""",3
module_C_es,scopus,es,"Medición democrática, índices, validez e incertidumbre","(""medición de la democracia"" OR ""índice de democracia"" OR ""índice compuesto"" OR ""dimensión latente"") AND (validación OR validez OR incertidumbre OR ""análisis de sensibilidad"")",3
module_C_es,scielo,es,"Medición democrática, índices, validez e incertidumbre",medición de la democracia índice de democracia índice compuesto dimensión latente validación validez incertidumbre análisis de sensibilidad,3
module_C_en,openalex,en,"Medición democrática, índices, validez e incertidumbre",democracy measurement democracy index composite index latent dimension validation validity uncertainty sensitivity analysis,3
module_C_en,crossref,en,"Medición democrática, índices, validez e incertidumbre",democracy measurement democracy index composite index latent dimension validation validity uncertainty sensitivity analysis,3
module_C_en,semantic_scholar,en,"Medición democrática, índices, validez e incertidumbre","""democracy measurement"" ""democracy index"" ""composite index"" ""latent dimension"" validation validity uncertainty ""sensitivity analysis""",3
module_C_en,core,en,"Medición democrática, índices, validez e incertidumbre",democracy measurement democracy index composite index latent dimension validation validity uncertainty sensitivity analysis,3
