scenario_id,scenario_name,category_full,category_es,annual_structural_rate,shock_2026,evidence_basis
continuidad_hibrida,Continuidad híbrida y estabilización competitiva,Civil liberties,Libertades civiles,-0.01,-0.08,E01;E05
continuidad_hibrida,Continuidad híbrida y estabilización competitiva,Electoral process and pluralism,Proceso electoral y pluralismo,0.0,0.08,E01;E02;E03
continuidad_hibrida,Continuidad híbrida y estabilización competitiva,Functioning of government,Funcionamiento del gobierno,0.01,-0.06,E04;E05;E08
continuidad_hibrida,Continuidad híbrida y estabilización competitiva,Political culture,Cultura política,0.0,-0.1,E04;E06;E08
continuidad_hibrida,Continuidad híbrida y estabilización competitiva,Political participation,Participación política,0.02,0.06,E03;E07
deriva_restrictiva,Deriva restrictiva y securitización,Civil liberties,Libertades civiles,-0.16,-0.28,E01;E05;E09
deriva_restrictiva,Deriva restrictiva y securitización,Electoral process and pluralism,Proceso electoral y pluralismo,-0.04,-0.08,E01;E02;E03;E06
deriva_restrictiva,Deriva restrictiva y securitización,Functioning of government,Funcionamiento del gobierno,-0.13,-0.2,E05;E06;E08;E09
deriva_restrictiva,Deriva restrictiva y securitización,Political culture,Cultura política,-0.13,-0.25,E04;E06;E08;E09
deriva_restrictiva,Deriva restrictiva y securitización,Political participation,Participación política,-0.07,-0.05,E05;E07;E09
recuperacion_institucional,Recuperación institucional y gobernabilidad negociada,Civil liberties,Libertades civiles,0.05,0.05,E01;E05
recuperacion_institucional,Recuperación institucional y gobernabilidad negociada,Electoral process and pluralism,Proceso electoral y pluralismo,0.04,0.12,E01;E02;E03
recuperacion_institucional,Recuperación institucional y gobernabilidad negociada,Functioning of government,Funcionamiento del gobierno,0.1,0.12,E01;E05;E08
recuperacion_institucional,Recuperación institucional y gobernabilidad negociada,Political culture,Cultura política,0.1,0.15,E06;E08;E09
recuperacion_institucional,Recuperación institucional y gobernabilidad negociada,Political participation,Participación política,0.06,0.08,E01;E07
