scenario_id,category_full,category_es,parameter,p10,p50,p90,n_sim
recuperacion_institucional,Electoral process and pluralism,Proceso electoral y pluralismo,shock_2026,0.08661,0.11978,0.1532,10000
recuperacion_institucional,Functioning of government,Funcionamiento del gobierno,shock_2026,0.07536,0.11968,0.1644,10000
recuperacion_institucional,Political participation,Participación política,shock_2026,0.04682,0.07991,0.11354,10000
recuperacion_institucional,Political culture,Cultura política,shock_2026,0.0942,0.15062,0.20576,10000
recuperacion_institucional,Civil liberties,Libertades civiles,shock_2026,0.01163,0.04979,0.08875,10000
recuperacion_institucional,Electoral process and pluralism,Proceso electoral y pluralismo,annual_structural_rate,0.0236,0.04015,0.05663,10000
recuperacion_institucional,Functioning of government,Funcionamiento del gobierno,annual_structural_rate,0.06635,0.09981,0.13324,10000
recuperacion_institucional,Political participation,Participación política,annual_structural_rate,0.03803,0.06012,0.08279,10000
recuperacion_institucional,Political culture,Cultura política,annual_structural_rate,0.06673,0.10023,0.13391,10000
recuperacion_institucional,Civil liberties,Libertades civiles,annual_structural_rate,0.02805,0.04957,0.07169,10000
continuidad_hibrida,Electoral process and pluralism,Proceso electoral y pluralismo,shock_2026,0.03319,0.07455,0.11105,10000
continuidad_hibrida,Functioning of government,Funcionamiento del gobierno,shock_2026,-0.11022,-0.06036,-0.01005,10000
continuidad_hibrida,Political participation,Participación política,shock_2026,0.02015,0.05735,0.09246,10000
continuidad_hibrida,Political culture,Cultura política,shock_2026,-0.1558,-0.09938,-0.04424,10000
continuidad_hibrida,Civil liberties,Libertades civiles,shock_2026,-0.12385,-0.08024,-0.03572,10000
continuidad_hibrida,Electoral process and pluralism,Proceso electoral y pluralismo,annual_structural_rate,-0.01093,0.0001,0.01109,10000
continuidad_hibrida,Functioning of government,Funcionamiento del gobierno,annual_structural_rate,-0.01243,0.00987,0.03216,10000
continuidad_hibrida,Political participation,Participación política,annual_structural_rate,-0.00197,0.02012,0.04279,10000
continuidad_hibrida,Political culture,Cultura política,annual_structural_rate,-0.02772,0.00019,0.02826,10000
continuidad_hibrida,Civil liberties,Libertades civiles,annual_structural_rate,-0.03195,-0.01043,0.01169,10000
deriva_restrictiva,Electoral process and pluralism,Proceso electoral y pluralismo,shock_2026,-0.13565,-0.08037,-0.02467,10000
deriva_restrictiva,Functioning of government,Funcionamiento del gobierno,shock_2026,-0.26695,-0.20048,-0.1334,10000
deriva_restrictiva,Political participation,Participación política,shock_2026,-0.09977,-0.05014,0.00031,10000
deriva_restrictiva,Political culture,Cultura política,shock_2026,-0.3337,-0.24908,-0.16637,10000
deriva_restrictiva,Civil liberties,Libertades civiles,shock_2026,-0.35674,-0.28042,-0.20251,10000
deriva_restrictiva,Electoral process and pluralism,Proceso electoral y pluralismo,annual_structural_rate,-0.06187,-0.0398,-0.01782,10000
deriva_restrictiva,Functioning of government,Funcionamiento del gobierno,annual_structural_rate,-0.16925,-0.13022,-0.09122,10000
deriva_restrictiva,Political participation,Participación política,annual_structural_rate,-0.09747,-0.06985,-0.04152,10000
deriva_restrictiva,Political culture,Cultura política,annual_structural_rate,-0.17435,-0.12969,-0.08478,10000
deriva_restrictiva,Civil liberties,Libertades civiles,annual_structural_rate,-0.20389,-0.16086,-0.11662,10000
