scenario_id,year,p10,p50,p90,n_sim,note
recuperacion_institucional,2025,5.88,5.88,5.88,10000,"Sensitivity envelope from 10,000 Monte Carlo paths using 25% of historical annual category volatility (floored/capped); not a statistical confidence interval."
recuperacion_institucional,2026,5.937,5.985,6.032,10000,"Sensitivity envelope from 10,000 Monte Carlo paths using 25% of historical annual category volatility (floored/capped); not a statistical confidence interval."
recuperacion_institucional,2027,5.993,6.055,6.116,10000,"Sensitivity envelope from 10,000 Monte Carlo paths using 25% of historical annual category volatility (floored/capped); not a statistical confidence interval."
recuperacion_institucional,2028,6.043,6.118,6.19,10000,"Sensitivity envelope from 10,000 Monte Carlo paths using 25% of historical annual category volatility (floored/capped); not a statistical confidence interval."
recuperacion_institucional,2029,6.09,6.173,6.257,10000,"Sensitivity envelope from 10,000 Monte Carlo paths using 25% of historical annual category volatility (floored/capped); not a statistical confidence interval."
recuperacion_institucional,2030,6.129,6.222,6.315,10000,"Sensitivity envelope from 10,000 Monte Carlo paths using 25% of historical annual category volatility (floored/capped); not a statistical confidence interval."
continuidad_hibrida,2025,5.88,5.88,5.88,10000,"Sensitivity envelope from 10,000 Monte Carlo paths using 25% of historical annual category volatility (floored/capped); not a statistical confidence interval."
continuidad_hibrida,2026,5.802,5.861,5.919,10000,"Sensitivity envelope from 10,000 Monte Carlo paths using 25% of historical annual category volatility (floored/capped); not a statistical confidence interval."
continuidad_hibrida,2027,5.788,5.864,5.941,10000,"Sensitivity envelope from 10,000 Monte Carlo paths using 25% of historical annual category volatility (floored/capped); not a statistical confidence interval."
continuidad_hibrida,2028,5.777,5.868,5.96,10000,"Sensitivity envelope from 10,000 Monte Carlo paths using 25% of historical annual category volatility (floored/capped); not a statistical confidence interval."
continuidad_hibrida,2029,5.767,5.872,5.978,10000,"Sensitivity envelope from 10,000 Monte Carlo paths using 25% of historical annual category volatility (floored/capped); not a statistical confidence interval."
continuidad_hibrida,2030,5.759,5.875,5.993,10000,"Sensitivity envelope from 10,000 Monte Carlo paths using 25% of historical annual category volatility (floored/capped); not a statistical confidence interval."
deriva_restrictiva,2025,5.88,5.88,5.88,10000,"Sensitivity envelope from 10,000 Monte Carlo paths using 25% of historical annual category volatility (floored/capped); not a statistical confidence interval."
deriva_restrictiva,2026,5.635,5.708,5.782,10000,"Sensitivity envelope from 10,000 Monte Carlo paths using 25% of historical annual category volatility (floored/capped); not a statistical confidence interval."
deriva_restrictiva,2027,5.506,5.602,5.699,10000,"Sensitivity envelope from 10,000 Monte Carlo paths using 25% of historical annual category volatility (floored/capped); not a statistical confidence interval."
deriva_restrictiva,2028,5.392,5.508,5.622,10000,"Sensitivity envelope from 10,000 Monte Carlo paths using 25% of historical annual category volatility (floored/capped); not a statistical confidence interval."
deriva_restrictiva,2029,5.294,5.423,5.553,10000,"Sensitivity envelope from 10,000 Monte Carlo paths using 25% of historical annual category volatility (floored/capped); not a statistical confidence interval."
deriva_restrictiva,2030,5.208,5.349,5.494,10000,"Sensitivity envelope from 10,000 Monte Carlo paths using 25% of historical annual category volatility (floored/capped); not a statistical confidence interval."
