scenario_id,year,p10,p50,p90,n_sim,uncertainty_layers,note
recuperacion_institucional,2025,5.88,5.88,5.88,10000,2025 dimensional composition; bounded scenario parameters; structural-rate scale; correlated residual perturbation,Sensitivity envelope; not a confidence interval and not a scenario-occurrence probability.
recuperacion_institucional,2026,5.906,5.983,6.062,10000,2025 dimensional composition; bounded scenario parameters; structural-rate scale; correlated residual perturbation,Sensitivity envelope; not a confidence interval and not a scenario-occurrence probability.
recuperacion_institucional,2027,5.943,6.053,6.165,10000,2025 dimensional composition; bounded scenario parameters; structural-rate scale; correlated residual perturbation,Sensitivity envelope; not a confidence interval and not a scenario-occurrence probability.
recuperacion_institucional,2028,5.98,6.117,6.253,10000,2025 dimensional composition; bounded scenario parameters; structural-rate scale; correlated residual perturbation,Sensitivity envelope; not a confidence interval and not a scenario-occurrence probability.
recuperacion_institucional,2029,6.013,6.174,6.334,10000,2025 dimensional composition; bounded scenario parameters; structural-rate scale; correlated residual perturbation,Sensitivity envelope; not a confidence interval and not a scenario-occurrence probability.
recuperacion_institucional,2030,6.042,6.224,6.402,10000,2025 dimensional composition; bounded scenario parameters; structural-rate scale; correlated residual perturbation,Sensitivity envelope; not a confidence interval and not a scenario-occurrence probability.
continuidad_hibrida,2025,5.88,5.88,5.88,10000,2025 dimensional composition; bounded scenario parameters; structural-rate scale; correlated residual perturbation,Sensitivity envelope; not a confidence interval and not a scenario-occurrence probability.
continuidad_hibrida,2026,5.78,5.857,5.937,10000,2025 dimensional composition; bounded scenario parameters; structural-rate scale; correlated residual perturbation,Sensitivity envelope; not a confidence interval and not a scenario-occurrence probability.
continuidad_hibrida,2027,5.751,5.862,5.973,10000,2025 dimensional composition; bounded scenario parameters; structural-rate scale; correlated residual perturbation,Sensitivity envelope; not a confidence interval and not a scenario-occurrence probability.
continuidad_hibrida,2028,5.73,5.865,6.001,10000,2025 dimensional composition; bounded scenario parameters; structural-rate scale; correlated residual perturbation,Sensitivity envelope; not a confidence interval and not a scenario-occurrence probability.
continuidad_hibrida,2029,5.709,5.869,6.027,10000,2025 dimensional composition; bounded scenario parameters; structural-rate scale; correlated residual perturbation,Sensitivity envelope; not a confidence interval and not a scenario-occurrence probability.
continuidad_hibrida,2030,5.694,5.874,6.05,10000,2025 dimensional composition; bounded scenario parameters; structural-rate scale; correlated residual perturbation,Sensitivity envelope; not a confidence interval and not a scenario-occurrence probability.
deriva_restrictiva,2025,5.88,5.88,5.88,10000,2025 dimensional composition; bounded scenario parameters; structural-rate scale; correlated residual perturbation,Sensitivity envelope; not a confidence interval and not a scenario-occurrence probability.
deriva_restrictiva,2026,5.627,5.707,5.789,10000,2025 dimensional composition; bounded scenario parameters; structural-rate scale; correlated residual perturbation,Sensitivity envelope; not a confidence interval and not a scenario-occurrence probability.
deriva_restrictiva,2027,5.489,5.602,5.716,10000,2025 dimensional composition; bounded scenario parameters; structural-rate scale; correlated residual perturbation,Sensitivity envelope; not a confidence interval and not a scenario-occurrence probability.
deriva_restrictiva,2028,5.365,5.507,5.646,10000,2025 dimensional composition; bounded scenario parameters; structural-rate scale; correlated residual perturbation,Sensitivity envelope; not a confidence interval and not a scenario-occurrence probability.
deriva_restrictiva,2029,5.258,5.423,5.585,10000,2025 dimensional composition; bounded scenario parameters; structural-rate scale; correlated residual perturbation,Sensitivity envelope; not a confidence interval and not a scenario-occurrence probability.
deriva_restrictiva,2030,5.163,5.349,5.535,10000,2025 dimensional composition; bounded scenario parameters; structural-rate scale; correlated residual perturbation,Sensitivity envelope; not a confidence interval and not a scenario-occurrence probability.
